First Matching Affiliation from Corresponding Author,First Matching Corresponding Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Division of Intensive Care, Department of Anesthesia and Intensive Care, Inselspital, CH-3010, Berne, Switzerland","Rothen, H. U.",unibe,10.1007/s001340050474,https://doi.org/10.1007/s001340050474,,"Intensive care 1980–1995: change in patient characteristics, nursing workload and outcome",,"Jakob, S. M.;Rothen, H. U.",1997,Intensive Care Medicine,"Division of Intensive Care, Department of Anesthesia and Intensive Care, Inselspital, CH-3010, Berne, Switzerland;Division of Intensive Care, Department of Anesthesia and Intensive Care, Inselspital, CH-3010, Berne, Switzerland",Springer-Verlag,,23,11,1165,1170,0342-4642,1432-1238,copyright,"Springer-Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s001340050474,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050474&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050474&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050474&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut für Sozial-und Präventivmedizin der Universität Bern, Finkenhubelweg 11, CH-3012, Bern E-mail: knolle@ispm.unibe.ch","Knolle, Helmut",unibe,10.1007/BF01318139,https://doi.org/10.1007/BF01318139,,Zunehmender Heroin-und Kokainkonsum in der Schweiz seit 1990: Anwendung eines verallgemeinerten Poisson-Ansatzes auf Anzeigedaten,,"Knolle, Helmut",1997,Sozial- und Präventivmedizin,"Institut für Sozial-und Präventivmedizin der Universität Bern, Finkenhubelweg 11, CH-3012, Bern E-mail: knolle@ispm.unibe.ch",Birkhäuser-Verlag,,42,2,105,113,0303-8408,1420-911X,copyright,"Birkhäuser Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF01318139,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01318139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01318139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01318139&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Abteilung für Epidemiologie und Infektionskrankheiten, Bundesamt für Gesundheit, Impfprogramme und Sentinella, CH-3003, Bern Fakultäre Instanz für Allgemeinmedizin der Universität Bern, Bern, Schweiz","Cloetta, Jann",unibe,10.1007/BF01365161,https://doi.org/10.1007/BF01365161,,Grippeüberwachung in der SchweizInfluenza surveillance in SwitzerlangSurveillance de la grippe en Suisse,,"Cloetta, Jann;Zimmermann, Hanspeter;Sentinella-Arbeitsgemeinschaft, ",1997,Sozial- und Präventivmedizin,"Abteilung für Epidemiologie und Infektionskrankheiten, Bundesamt für Gesundheit, Impfprogramme und Sentinella, CH-3003, Bern Fakultäre Instanz für Allgemeinmedizin der Universität Bern, Bern, Schweiz;Abteilung für Epidemiologie und Infektionskrankheiten, Bundesamt für Gesundheit, Impfprogramme und Sentinella, CH-3003, Bern;Abteilung für Epidemiologie und Infektionskrankheiten, Bundesamt für Gesundheit, Impfprogramme und Sentinella, CH-3003, Bern Fakultäre Instanz für Allgemeinmedizin der Universität Bern, Bern, Schweiz",Birkhäuser-Verlag,,42,2,S88,S91,0303-8408,1420-911X,copyright,"Birkhäuser Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF01365161,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01365161&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01365161&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01365161&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, CH-3000, Bern, Switzerland","Calzaferri, Gion",unibe,10.1007/BF02869205,https://doi.org/10.1007/BF02869205,,Artificial antenna systems,,"Calzaferri, Gion",1997,Journal of Chemical Sciences,"Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, CH-3000, Bern, Switzerland",Springer India,,109,6,429,446,0253-4134,0973-7103,copyright,"the Indian Academy of Sciences, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02869205,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02869205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02869205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02869205&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland","Büchler, M. W.",unibe,10.1007/BF02619916,https://doi.org/10.1007/BF02619916,,Acute appendicitis: Standard treatment and the role of laparoscopic surgery,,"Schäfer, M.;Krähenbühl, L.;Schneider, M.;Büchler, M. W.",1997,Acta chirurgica Austriaca,"Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland",Springer Berlin Heidelberg,,29,6,360,363,0001-544X,1682-4016,copyright,"Blackwell Science Ltd, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02619916,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02619916&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02619916&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02619916&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Pathologisches Institut, Universität Bern (Inselspital), Murtenstrasse 31, CH-3010, Bern, Schweiz","Zimmermann, A.",unibe,10.1007/BF02621315,https://doi.org/10.1007/BF02621315,,Pathomorphologie und Entstehungsfaktoren des PankreaskarzinomsMorphology and pathogenic factors of pancreatic carcinoma,,"Zimmermann, A.",1997,Acta Chirurgica Austriaca,"Pathologisches Institut, Universität Bern (Inselspital), Murtenstrasse 31, CH-3010, Bern, Schweiz",Springer-Verlag,,29,5,248,250,0001-544X,1682-4016,copyright,"Blackwell Science Ltd, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02621315,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02621315&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02621315&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02621315&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Bern, Bern, Switzerland","Wagner, Hans Peter",unibe,10.1007/BF02831338,https://doi.org/10.1007/BF02831338,,Cell cycle control and cancer,,"Wagner, Hans Peter",1998,The Indian Journal of Pediatrics,"University of Bern, Bern, Switzerland",Springer India,,65,6,805,814,0019-5456,0973-7693,copyright,"Dr. K C Chaudhuri Foundation, 1998",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02831338,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02831338&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02831338&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02831338&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Biological Sciences, Simon Fraser University, V5A 1S6, Burnaby, British Columbia, CANADA Geobotanisches Institut der Universität Bern, Altenbergrain 21, CH-3013, Bern, Switzerland Geobotanisches Institut der Universität Bern, Altenbergrain 21, CH-3013, Bern, Switzerland","Walker, Ian R.",unibe,10.1023/A:1007956901689,https://doi.org/10.1023/A:1007956901689,,"A palaeolimnological study of Tugulnuit Lake, British Columbia, Canada, with special emphasis on river influence as recorded by chironomids in the lake's sediment",,"Rück, Andrea;Walker, Ian R.;Hebda, Richard",1998,Journal of Paleolimnology,"Institut für Biologie I (Zoologie), Albert-Ludwigs-Universität Freiburg, Albertstr. 21a, D-79104, Freiburg i. Br., Germany Department of Biology, Okanagan University College, 3333 College Way, V1V 1V7, Kelowna, British Columbia, CANADA Institut für Biologie I (Zoologie), Albert-Ludwigs-Universität Freiburg, Albertstr. 21a, D-79104, Freiburg i. Br., Germany E-mail: iwalker@okcins.okanagan.bc.ca;Department of Biological Sciences, Simon Fraser University, V5A 1S6, Burnaby, British Columbia, CANADA Geobotanisches Institut der Universität Bern, Altenbergrain 21, CH-3013, Bern, Switzerland Geobotanisches Institut der Universität Bern, Altenbergrain 21, CH-3013, Bern, Switzerland;Botany, Royal British Columbia Museum, 675 Belleville St., V8V 1X4, Victoria, British Columbia, Canada Department of Biology and School of Earth and Ocean Sciences, University of Victoria, P.O. Box 1700, V8W 2Y2, Victoria, British Columbia, CANADA",Kluwer Academic Publishers,,19,1,63,75,0921-2728,1573-0417,copyright,"Kluwer Academic Publishers, 1998",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1007956901689,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1007956901689&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1007956901689&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1007956901689&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut für Ethnologie, Universität Bern, Länggassstr. 49 a, CH-3000, Bern 9 E-mail: Simone.Gretler@ethno.unibe.ch","Gretler, Simone",unibe,10.1007/BF01354248,https://doi.org/10.1007/BF01354248,,Gesundheitsförderung in der Grundausbildung von Lehrerinnen und Lehrern in der SchweizHealth promotion in pre-service teacher training in SwitzerlandLa promotion de la santé dans la formation de base des enseignantes et enseignants en Suisse,,"Gretler, Simone",1998,Sozial- und Präventivmedizin,"Institut für Ethnologie, Universität Bern, Länggassstr. 49 a, CH-3000, Bern 9 E-mail: Simone.Gretler@ethno.unibe.ch",Birkhäuser-Verlag,,43,5,239,246,0303-8408,1420-911X,copyright,"Birkhäuser Verlag, 1998",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF01354248,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01354248&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01354248&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01354248&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland","Büchler, Markus W.",unibe,10.1385/IJGC:23:2:115,https://doi.org/10.1385/IJGC:23:2:115,,Influence of high-dose pancreatic enzyme treatment on pancreatic function in healthy volunteers,,"Friess, Helmut;Kleeff, Jörg;Malfertheiner, Peter;Müller, Michael W.;Homuth, Kaiken;Büchler, Markus W.",1998,International Journal of Pancreatology,"Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Gastroenterology, Hepatology and Infectious Disease, Otto von Guericke University, Magdeburg, Germany;Department of Surgery, University of Ulm, Germany;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland;Department of Visceral and Transplantation Surgery, University of Bern, Inselspital, CH-3010, Bern, Switzerland",Humana Press,,23,2,115,123,1537-3649,1559-0739,copyright,"Humana Press Inc, 1998",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101385IJGC232115,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101385IJGC232115&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101385IJGC232115&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101385IJGC232115&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
