First Matching Affiliation from Corresponding Author,First Matching Corresponding Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland","Mirmefstein, A.",unige,10.1007/BF02767690,https://doi.org/10.1007/BF02767690,,Mixed-State Specific Heat of the Type-II Superconductor Nb0.77Zr0.23 in Magnetic Fields up to B c2,,"Mirmefstein, A.;Junod, A.;Walker, E.;Revaz, B.;Genoud, J. Y.;Triscone, G.",1997,Journal of Superconductivity,"Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland;Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland;Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland;Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland;Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland;Département de Physique de la Matière Condens’ee, Université de Geneve, CH-1211 Genève 4, Switzerland",Springer US,,10,5,527,535,0896-1107,1572-9605,copyright,"Plenum Publishing Corporation, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02767690,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02767690&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02767690&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02767690&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Medical Intensive Care, University Hospital, Geneva, 24, rue Micheli-du-Crest, CH-1211, Geneva 14, Switzerland","Chevrolet, J. C.",unige,10.1007/s001340050490,https://doi.org/10.1007/s001340050490,,Effects of inhaled salmeterol and salbutamol (albuterol) on morning dips compared in intensive care patients recovering from an acute severe asthma attack,,"Ritz, M.;Thorens, J. B.;Chevrolet, J. C.;Arnold-Ketterer, M.",1997,Intensive Care Medicine,"Medical Intensive Care, University Hospital, Geneva, 24, rue Micheli-du-Crest, CH-1211, Geneva 14, Switzerland;Medical Intensive Care, University Hospital, Geneva, 24, rue Micheli-du-Crest, CH-1211, Geneva 14, Switzerland Respiratory Division, Hôpital Cantonal Universitaire de Genève, Geneva, Switzerland;Medical Intensive Care, University Hospital, Geneva, 24, rue Micheli-du-Crest, CH-1211, Geneva 14, Switzerland;Medical Clinic I, Hôpital Cantonal Universitaire de Genève, Geneva, Switzerland",Springer-Verlag,,23,12,1225,1230,0342-4642,1432-1238,copyright,"Springer-Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s001340050490,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050490&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050490&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001340050490&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Ecole de Physique, Université de Genève, CH-1211, Geneva, Switzerland","Kunz, Martin",unige,10.1007/BF02768938,https://doi.org/10.1007/BF02768938,,Calculation of the large- N limit of CMB anisotropies induced by global scalar fields,,"Kunz, Martin;Durrer, Ruth",1997,International Journal of Theoretical Physics,"Ecole de Physique, Université de Genève, CH-1211, Geneva, Switzerland;Ecole de Physique, Université de Genève, CH-1211, Geneva, Switzerland",Springer US,,36,11,2489,2501,0020-7748,1572-9575,copyright,"Plenum Publishing Corporation, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02768938,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02768938&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02768938&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02768938&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland","Gailloud, P.",unige,10.1007/BF01628137,https://doi.org/10.1007/BF01628137,,An in vitro anatomic model of the human cerebral arteries with saccular arterial aneurysmsUn modèle anatomique in vitro des artères cérébrales humaines avec anévrysmes artériels sacciformes,,"Gailloud, P.;Pray, J. R.;Muster, M.;Piotin, M.;Fasel, J. H. D.;Rüfenacht, D. A.",1997,Surgical and Radiologic Anatomy,"Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland;Boston Scientific Corporation, Natick, MA, USA;Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland;Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland;Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland;Division of Diagnostic and Interventional Radiology, Department of Morphology, and Clinical Anatomy Research Group (GRAC), University of Geneva, Switzerland",Springer-Verlag,,19,2,119,121,0930-1038,1279-8517,copyright,"Springer-Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF01628137,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01628137&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01628137&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01628137&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"GERAD, Faculty of Management, McGill University, H3A 1G5, Montreal, Que, Canada Logilab, HEC, Section of Management Studies, University of Geneva, 102 Bd.Carl Vogt, CH-1211, Genève 4, Switzerland","Goffin, J. -L.",unige,10.1007/BF02614381,https://doi.org/10.1007/BF02614381,,Solving nonlinear multicommodity flow problems by the analytic center cutting plane method,,"Goffin, J. -L.;Gondzio, J.;Sarkissian, R.;Vial, J. -P.",1997,Mathematical Programming,"GERAD, Faculty of Management, McGill University, H3A 1G5, Montreal, Que, Canada Logilab, HEC, Section of Management Studies, University of Geneva, 102 Bd.Carl Vogt, CH-1211, Genève 4, Switzerland;Logilab, HEC, Section of Management Studies, University of Geneva, 102 Bd.Carl Vogt, CH-1211, Genève 4, Switzerland;Logilab, HEC, Section of Management Studies, University of Geneva, 102 Bd.Carl Vogt, CH-1211, Genève 4, Switzerland;Logilab, HEC, Section of Management Studies, University of Geneva, 102 Bd.Carl Vogt, CH-1211, Genève 4, Switzerland",Springer-Verlag,,76,1,131,154,0025-5610,1436-4646,copyright,"The Mathematical Programming Society, Inc, 1996",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF02614381,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02614381&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02614381&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF02614381&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Laboratoires de Recherche Louis Jeantet, University of Geneva, Geneva, Switzerland","Halban, P. A.",unige,10.1007/BF03168184,https://doi.org/10.1007/BF03168184,,Insulin production: from gene to granule,,"Regazzi, R.;Verchere, C. B.;Halban, P. A.;Polonsky, K. S.",1997,Diabetologia,"Institut de Biologie Cellulaire et de Morphologie, Lausanne, Switzerland;British Columbia Research Institute for Child and Family Health, Department of Pathology and Laboratory Medicine, University of British Columbia, Vancouver, Canada;Laboratoires de Recherche Louis Jeantet, University of Geneva, Geneva, Switzerland;Department of Medicine, University of Chicago, Chicago, Illinois, USA",Springer-Verlag,,40,,B33,B38,0012-186X,1432-0428,copyright,"Springer-Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF03168184,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03168184&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03168184&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03168184&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland Diabetes Research Group, Garvan Institute of Medical Research, 384 Victoria Street, NSW 2010, Darlinghurst, Sydney, Australia","Sainsbury, A.",unige,10.1007/s001250050820,https://doi.org/10.1007/s001250050820,,"Chronic central neuropeptide Y infusion in normal rats: status of the hypothalamo-pituitary-adrenal axis, and vagal mediation of hyperinsulinaemia",,"Sainsbury, A.;Rohner-Jeanrenaud, F.;Cusin, I.;Zakrzewska, K. E.;Halban, P. A.;Gaillard, R. C.;Jeanrenaud, B.",1997,Diabetologia,"Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland Diabetes Research Group, Garvan Institute of Medical Research, 384 Victoria Street, NSW 2010, Darlinghurst, Sydney, Australia;Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland;Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland;Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland;Laboratoires de Recherche Louis Jeantet, University of Geneva Medical Centre, Geneva, Switzerland;Division d’Endocrinologie et du Métabolisme, Department of Internal Medicine, Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland;Laboratoires de Recherches Métaboliques, Faculty of Medicine, University of Geneva, Geneva, Switzerland",Springer-Verlag,,40,11,1269,1277,0012-186X,1432-0428,copyright,"Springer-Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s001250050820,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001250050820&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001250050820&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s001250050820&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Clinical Epidemiology, Geneva University Hospital, Rue Micheli-du-Crest 24, CH-1211, Geneva 14","Morabia, Alfredo",unige,10.1007/BF01592328,https://doi.org/10.1007/BF01592328,,Duration of hospitalization during the first two years after AIDS diagnosis: A descriptive study,,"Vanhems, Philippe;Morabia, Alfredo;Pechère, Marc;Gabriel, Victor",1997,Sozial- und Präventivmedizin,"Infectious Diseases, Geneva University Hospital, CH-1211, Geneva 14 Research Center, Hôtel Dieu de Montréal, Montreal;Clinical Epidemiology, Geneva University Hospital, Rue Micheli-du-Crest 24, CH-1211, Geneva 14;Infectious Diseases, Geneva University Hospital, CH-1211, Geneva 14;Infectious Diseases, Geneva University Hospital, CH-1211, Geneva 14",Birkhäuser-Verlag,,42,5,314,319,0303-8408,1420-911X,copyright,"Birkhäuser Verlag, 1997",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF01592328,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01592328&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01592328&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF01592328&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Departamento de Farmacia e Tecnoloxía Farmacéutica, Facultade de Farmacia, Universidade de Santiago de Compostela, Spain Centre Interuniversitaire de Recherche et d'Enseignement, ""Pharma-peptides,”, 74166, Archamps, France Section de Pharmacie, Faculté de Sciences, Université de Genève, Switzerland E-mail: begona@pharmal.cur-archamps.fr","Delgado-Charro, M. Begoña",unige,10.1023/A:1011909623019,https://doi.org/10.1023/A:1011909623019,,lontophoretic Permselectivity of Mammalian Skin: Characterization of Hairless Mouse and Porcine Membrane Models,,"Luzardo-Alvarez, Asteria;Rodríguez-Fernández, Mónica;Blanco-Méndez, José;Guy, Richard H.;Delgado-Charro, M. Begoña",1998,Pharmaceutical Research,"Departamento de Farmacia e Tecnoloxía Farmacéutica, Facultade de Farmacia, Universidade de Santiago de Compostela, Spain;Departamento de Farmacia e Tecnoloxía Farmacéutica, Facultade de Farmacia, Universidade de Santiago de Compostela, Spain;Departamento de Farmacia e Tecnoloxía Farmacéutica, Facultade de Farmacia, Universidade de Santiago de Compostela, Spain;Centre Interuniversitaire de Recherche et d'Enseignement, ""Pharma-peptides,”, 74166, Archamps, France Section de Pharmacie, Faculté de Sciences, Université de Genève, Switzerland;Departamento de Farmacia e Tecnoloxía Farmacéutica, Facultade de Farmacia, Universidade de Santiago de Compostela, Spain Centre Interuniversitaire de Recherche et d'Enseignement, ""Pharma-peptides,”, 74166, Archamps, France Section de Pharmacie, Faculté de Sciences, Université de Genève, Switzerland E-mail: begona@pharmal.cur-archamps.fr",Kluwer Academic Publishers-Plenum Publishers,,15,7,984,987,0724-8741,1573-904X,copyright,"Plenum Publishing Corporation, 1998",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1011909623019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1011909623019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1011909623019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1011909623019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Entomology, NYS Agricultural Experiment Station, Cornell University, 14456., Geneva, New York USDA-ARS-PSI, Insect Chemical Ecology Lab., 20705, Beltsville, Maryland","Zhang, Aijun",unige,10.1023/A:1020910305873,https://doi.org/10.1023/A:1020910305873,,"Identification of a New Blend of Apple Volatiles Attractive to the Apple Maggot, Rhagoletis pomonella",,"Zhang, Aijun;Linn Jr., Charles;Wright, Starker;Prokopy, Ronald;Reissig, William;Roelofs, Wendell",1999,Journal of Chemical Ecology,"Department of Entomology, NYS Agricultural Experiment Station, Cornell University, 14456., Geneva, New York USDA-ARS-PSI, Insect Chemical Ecology Lab., 20705, Beltsville, Maryland;Department of Entomology, NYS Agricultural Experiment Station, Cornell University, 14456., Geneva, New York;Department of Entomology, University of Massachusetts, 01003, Amherst, Massachusetts;Department of Entomology, University of Massachusetts, 01003, Amherst, Massachusetts;Department of Entomology, University of Massachusetts, 01003, Amherst, Massachusetts;Department of Entomology, University of Massachusetts, 01003, Amherst, Massachusetts",Kluwer Academic Publishers-Plenum Publishers,,25,6,1221,1232,0098-0331,1573-1561,copyright,"Plenum Publishing Corporation, 1999",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1020910305873,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1020910305873&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1020910305873&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1020910305873&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
