First Matching Affiliation from Corresponding Author,First Matching Corresponding Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Laboratoire de Physiologie Végétale, Université de Neuchâtel, Rue Emile-Argand 13, CH-2007, Neuchâtel, Switzerland E-mail: Paul-Andre.Siegenthaler@bota.unine.ch","Siegenthaler, Paul-André",unine,10.1007/s11745-000-0580-4,https://doi.org/10.1007/s11745-000-0580-4,,Do glycerolipids display lateral heterogeneity in the thylakoid membrane?,,"Duchêne, Sylvie;Siegenthaler, Paul-André",2000,Lipids,"Laboratoire de Physiologie Végétale, Université de Neuchâtel, Rue Emile-Argand 13, CH-2007, Neuchâtel, Switzerland;Laboratoire de Physiologie Végétale, Université de Neuchâtel, Rue Emile-Argand 13, CH-2007, Neuchâtel, Switzerland E-mail: Paul-Andre.Siegenthaler@bota.unine.ch",Springer-Verlag,,35,7,739,744,0024-4201,1558-9307,copyright,"AOCS Press, 2000",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1174500005804,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1174500005804&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1174500005804&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1174500005804&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland E-mail: ted.turlings@unine.ch","Turlings, Ted C. J.",unine,10.1023/A:1021984715420,https://doi.org/10.1023/A:1021984715420,,Induction of Volatile Emissions in Maize by Different Larval Instars of Spodoptera littoralis,,"Gouinguené, Sandrine;Alborn, Hans;Turlings, Ted C. J.",2003,Journal of Chemical Ecology,"Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland;USDA-ARS, Gainesville, Florida, USA;Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland E-mail: ted.turlings@unine.ch",Kluwer Academic Publishers-Plenum Publishers,,29,1,145,162,0098-0331,1573-1561,copyright,"Plenum Publishing Corporation, 2003",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1021984715420,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1021984715420&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1021984715420&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1021984715420&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"LEAE, Institut de Zoologie, Université de Neuchâtel, rue Emile-Argand 11, CH-2007, Neuchâtel, Switzerland E-mail: estellelabeyrie@yahoo.fr","Labeyrie, Estelle",unine,10.1023/A:1024283016219,https://doi.org/10.1023/A:1024283016219,,Mate Choice and Toxicity in Two Species of Leaf Beetles with Different Types of Chemical Defense,,"Labeyrie, Estelle;Blanckenhorn, Wolf U.;Rahier, Martine",2003,Journal of Chemical Ecology,"LEAE, Institut de Zoologie, Université de Neuchâtel, rue Emile-Argand 11, CH-2007, Neuchâtel, Switzerland E-mail: estellelabeyrie@yahoo.fr;Zoologisches Museum, Universität Zürich-Irchel, Winterthurerstrasse 190, CH-8057, Zürich, Switzerland;LEAE, Institut de Zoologie, Université de Neuchâtel, rue Emile-Argand 11, CH-2007, Neuchâtel, Switzerland",Kluwer Academic Publishers-Plenum Publishers,,29,7,1665,1680,0098-0331,1573-1561,copyright,"Plenum Publishing Corporation, 2003",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1024283016219,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1024283016219&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1024283016219&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1024283016219&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Statistics Group, University of Neuchatel, Switzerland","Dodge, Yadolah",unine,10.1007/s00357-004-0009-9,https://doi.org/10.1007/s00357-004-0009-9,,Asymptotic Properties of the Multivariate Lp-mean,,"Dodge, Yadolah;Lemburger, Pirmin",2004,Journal of Classification,"Statistics Group, University of Neuchatel, Switzerland;Statistics Group, University of Neuchatel, Switzerland",Springer-Verlag; www.springer-ny.com,,21,1,139,154,0176-4268,1432-1343,copyright,"Springer Science+Business Media Inc., 2004",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0035700400099,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0035700400099&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0035700400099&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0035700400099&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Physique, Université de Neuchâtel, CH-2000, Neuchâtel, Switzerland","Andrenacci, N.",unine,10.1007/s10948-005-0048-4,https://doi.org/10.1007/s10948-005-0048-4,,Linear Response Theory Around a Localized Impurity in the Pseudogap Regime of an Anisotropic Superconductor,,"Andrenacci, N.;Angilella, G. G. N.;Beck, H.;Pucci, R.",2005,Journal of Superconductivity,"Institut de Physique, Université de Neuchâtel, CH-2000, Neuchâtel, Switzerland;Dipartimento di Fisica e Astronomia, Università di Catania, and Lab. MATIS-INFN, Sez. Catania, Via S. Sofia, 64, I-95123, Catania, Italy;Institut de Physique, Université de Neuchâtel, CH-2000, Neuchâtel, Switzerland;Dipartimento di Fisica e Astronomia, Università di Catania, and Lab. MATIS-INFN, Sez. Catania, Via S. Sofia, 64, I-95123, Catania, Italy",Kluwer Academic Publishers-Plenum Publishers; http://www.springer-ny.com,,18,5-6,613,617,0896-1107,1572-9605,copyright,"Springer Science + Business Media, Inc, 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1094800500484,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1094800500484&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1094800500484&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1094800500484&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Zoologie, Laboratoire d'Ecologie Animale et Entomologie (LEAE), Université de Neuchâtel, Case Postale 2, 2007, Neuchâtel, Switzerland E-mail: ted.turlings@unine.ch","Turlings, Ted C. J.",unine,10.1023/A:1015253600083,https://doi.org/10.1023/A:1015253600083,,Differential Attractiveness of Induced Odors Emitted by Eight Maize Varieties for the Parasitoid Cotesia marginiventris : Is Quality or Quantity Important?,,"Hoballah, Maria Elena Fritzsche;Tamò, Cristina;Turlings, Ted C. J.",2002,Journal of Chemical Ecology,"Institut de Zoologie, Laboratoire d'Ecologie Animale et Entomologie (LEAE), Université de Neuchâtel, Case Postale 2, 2007, Neuchâtel, Switzerland;Institut de Zoologie, Laboratoire d'Ecologie Animale et Entomologie (LEAE), Université de Neuchâtel, Case Postale 2, 2007, Neuchâtel, Switzerland;Institut de Zoologie, Laboratoire d'Ecologie Animale et Entomologie (LEAE), Université de Neuchâtel, Case Postale 2, 2007, Neuchâtel, Switzerland E-mail: ted.turlings@unine.ch",Kluwer Academic Publishers-Plenum Publishers,,28,5,951,968,0098-0331,1573-1561,copyright,"Plenum Publishing Corporation, 2002",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101023A1015253600083,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1015253600083&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1015253600083&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101023A1015253600083&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Chemistry, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland E-mail: reinhard.neier@unine.ch","Neier, Reinhard",unine,10.1007/s00706-004-0258-7,https://doi.org/10.1007/s00706-004-0258-7,,"Synthesis of Substituted 1-Thiocyanatobutadienes and their Application in a Diels-Alder /[3,3] Sigmatropic Rearrangement Tandem Reaction",,"Lanaspèze, Sébastien;Neier, Reinhard",2005,Monatshefte für Chemie / Chemical Monthly,"Institute of Chemistry, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland;Institute of Chemistry, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland E-mail: reinhard.neier@unine.ch",Springer-Verlag,,136,4,597,607,0026-9247,1434-4475,copyright,"Springer-Verlag/Wien, 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0070600402587,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0070600402587&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0070600402587&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0070600402587&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"BCH Division, Rothamsted Research, AL5 2JQ, Harpenden, Hertfordshire, UK Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland Agroscope, FAW Wädenswil, Schloss, Postfach 185, CH-8820, Wädenswil, Switzerland E-mail: sgouinguene@yahoo.com","Gouinguené, Sandrine",unine,10.1007/s10886-005-4245-1,https://doi.org/10.1007/s10886-005-4245-1,,"Antennal Electrophysiological Responses of Three Parasitic Wasps to Caterpillar-Induced Volatiles from Maize ( Zea mays mays ), Cotton ( Gossypium herbaceum ), and Cowpea ( Vigna unguiculata )",,"Gouinguené, Sandrine;Pickett, John A.;Wadhams, Lester J.;Birkett, Michael A.;Turlings, Ted C. J.",2005,Journal of Chemical Ecology,"BCH Division, Rothamsted Research, AL5 2JQ, Harpenden, Hertfordshire, UK Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland Agroscope, FAW Wädenswil, Schloss, Postfach 185, CH-8820, Wädenswil, Switzerland E-mail: sgouinguene@yahoo.com;BCH Division, Rothamsted Research, AL5 2JQ, Harpenden, Hertfordshire, UK;BCH Division, Rothamsted Research, AL5 2JQ, Harpenden, Hertfordshire, UK;BCH Division, Rothamsted Research, AL5 2JQ, Harpenden, Hertfordshire, UK;Institute of Zoology, Laboratory of Animal Ecology and Entomology, University of Neuchâtel, C. P. 2, CH-2007, Neuchâtel, Switzerland",Springer-Verlag; http://www.springer-ny.com,,31,5,1023,1038,0098-0331,1573-1561,copyright,"Springer Science + Business Media, Inc., 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1088600542451,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1088600542451&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1088600542451&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1088600542451&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Plant Ecology, Institute of Botany, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland E-mail: afeam@uaa.alaska.edu","Mitchell, E. A. D.",unine,10.1007/BF03036882,https://doi.org/10.1007/BF03036882,,Structure of microbial communities in Sphagnum peatlands and effect of atmospheric carbon dioxide enrichment,,"Mitchell, E. A. D.;Gilbert, D.;Buttler, A.;Amblard, C.;Grosvernier, P.;Gobat, J. -M.",2003,Microbial Ecology,"Department of Plant Ecology, Institute of Botany, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland E-mail: afeam@uaa.alaska.edu;Laboratoire de Biologie et Écophysiologie, Université de Franche-Comté, F-25030, Besançon, France;Laboratoire de Chrono-écologie, UMR 6565 CNRS, UFR des Sciences et Techniques, Université de Franche-Comté, F-25030, Besançon, France Swiss Federal Research Institute WSL, Antenne Romande, CH-1015, Lausanne, Switzerland;Laboratoire de Biologie Comparée des Protistes, UPRES A CNRS 6023, Université Biaise Pascal Clermont-Ferrand II, F-63177, Aubière cedex, France;LIN’eco, CH-2732, Reconvilier, Switzerland Centre Nature Les Cerlatez, CH-2350, Saignelégier, Switzerland;Department of Plant Ecology, Institute of Botany, University of Neuchâtel, CH-2007, Neuchâtel, Switzerland",Springer-Verlag,,46,2,187,199,0095-3628,1432-184X,copyright,"Springer-Verlag New York Inc, 2003",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007BF03036882,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03036882&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03036882&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007BF03036882&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Géologie, Université de Neuchâtel, 11 rue Emile Argand, CP2, CH-2007, Neuchâtel, Suisse E-mail: thierry.adatte@unine.ch","Adatte, Thierry",unine,10.1007/s00015-005-1167-4,https://doi.org/10.1007/s00015-005-1167-4,,Richtlinien zur stratigraphischen NomenklaturDirectives pour la nomenclature stratigraphiqueDirettive per la nomenclatura stratigraficaGuidelines for stratigraphic nomenclature,Schweizerisches Komitee für StratigraphieComité suisse de stratigraphieComitato Svizzero per la StratigrafiaSwiss Committee of Stratigraphy,"Remane†, Jürgen;Adatte, Thierry;Berger, Jean-Pierre;Burkhalter, Reto;Dall’Agnolo, Stephan;Decrouez, Danielle;Fischer, Hermann;Funk, Hanspeter;Furrer, Heinz;Graf, Hans-Rudolf;Gouffon, Yves;Heckendorn, Werner;Winkler, Wilfried",2005,Eclogae Geologicae Helvetiae,"Institut de Géologie, Université de Neuchâtel, 11 rue Emile Argand, CP2, CH-2007, Neuchâtel, Suisse;Institut de Géologie, Université de Neuchâtel, 11 rue Emile Argand, CP2, CH-2007, Neuchâtel, Suisse E-mail: thierry.adatte@unine.ch;Département des Géosciences, Université de Fribourg, Pérolles, CH-1700, Fribourg, Suisse E-mail: jean-pierre.berger@unifr.ch;Landesgeologie, BWG, CH-3003, Bern-Ittigen, Schweiz E-mail: reto.burkhalter@bwg.admin.ch;Landesgeologie, BWG, CH-3003, Bern-Ittigen, Schweiz E-mail: stephan.dallagnolo@bwg.admin.ch;Muséum d’histoire naturelle, Route de Malagnou 1, CP 6434, CH-1211, Genéve 6, Suisse E-mail: danielle.decrouez@mhn.ville-ge.ch;Kuntmattring 7, CH-4107, Ettingen, Schweiz;Seminarstrasse 26, CH-5400, Baden, Schweiz E-mail: h.funk@swissonline.ch;Paläontologisches Institut und Museum, Universität Zürich, Karl Schmid-Strasse 4, CH-8006, Zürich, Schweiz E-mail: hfurrer@pim.unizh.ch;Matousek, Baumann & Niggli AG, Mäderstrasse 8, CH-5401, Baden, Schweiz E-mail: h.graf@mbn.ch;Landesgeologie, BWG, CH-3003, Bern-Ittigen, Schweiz E-mail: yves.gouffon@bwg.admin.ch;Mühlerain 25, CH-5200, Brugg 3 Lauffohr, Schweiz E-mail: werner.heckendorn@holcim.com;Geologisches Institut, Departement Erdwissenschaften, ETH-Zürich, CH-8092, Zürich, Schweiz E-mail: wilfried.winkler@erdw.ethz.ch",Birkhäuser-Verlag; www.birkhauser.ch,,98,3,385,405,0012-9402,1420-9128,copyright,"Birkhäuser Verlag, Basel, 2005",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0001500511674,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001500511674&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001500511674&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0001500511674&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
