First Matching Affiliation from Corresponding Author,First Matching Corresponding Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Institut für Angewandte Mathematik, Universität Bonn, Bonn, Germany BiBos, Bielefeld-Bonn, Universität Bielefeld, Bielefeld, Germany SFB-611, Universität Bonn, Bonn, Germany IZKS, Bonn, Germany CERFIM Locarno and Acc. Arch. Locarno and USI, Switzerland E-mail: albeverio@uni-bonn.de","Albeverio, Sergio",usi,10.1007/s11117-005-0012-3,https://doi.org/10.1007/s11117-005-0012-3,,Spectral Properties of Image Measures Under the Infinite Conflict Interaction,,"Albeverio, Sergio;Koshmanenko, Volodymyr;Pratsiovytyi, Mykola;Torbin, Grygoriy",2006,Positivity,"Institut für Angewandte Mathematik, Universität Bonn, Bonn, Germany BiBos, Bielefeld-Bonn, Universität Bielefeld, Bielefeld, Germany SFB-611, Universität Bonn, Bonn, Germany IZKS, Bonn, Germany CERFIM Locarno and Acc. Arch. Locarno and USI, Switzerland E-mail: albeverio@uni-bonn.de;Institute of Mathematics, Kyiv, Ukraine E-mail: kosh@imath.kiev.net;National Pedagogical University, Kyiv, Ukraine E-mail: prats@ukrpost.net;National Pedagogical University, Kyiv, Ukraine E-mail: torbin@imath.kiev.ua",Birkhäuser-Verlag,,10,1,39,49,1385-1292,1572-9281,copyright,"Birkhäuser Verlag, Basel, 2006",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1111700500123,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111700500123&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111700500123&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111700500123&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Management, University of Lugano—USI, Via Buffi 13, CH-6900, Lugano, Switzerland E-mail: carmine.garzia@lu.unisi.ch","Garzia, Carmine",usi,10.1007/s10997-007-9033-6,https://doi.org/10.1007/s10997-007-9033-6,,Marco Weiss: Efficient Organizational Design—Balancing Incentives and Power,"Palgrave MacMillian, New York, NY, 2007, 344 pp, ISBN-10: 0230515525, ISBN-13: 9780230515529","Garzia, Carmine",2007,Journal of Management & Governance,"Institute of Management, University of Lugano—USI, Via Buffi 13, CH-6900, Lugano, Switzerland E-mail: carmine.garzia@lu.unisi.ch",Springer US; http://www.springer-ny.com,,11,4,429,432,1385-3457,1572-963X,copyright,"Springer Science+Business Media, LLC, 2007",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1099700790336,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1099700790336&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1099700790336&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1099700790336&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Health Care Communication Laboratory, School of Communication Sciences, University of Lugano, Via Buffi 13, 6900, Lugano, Switzerland E-mail: sara.rubinelli@lu.unisi.ch","Rubinelli, Sara",usi,10.1007/s10503-006-9010-2,https://doi.org/10.1007/s10503-006-9010-2,,The Ancient Argumentative Game: τóπoι and loci in Action,,"Rubinelli, Sara",2006,Argumentation,"Health Care Communication Laboratory, School of Communication Sciences, University of Lugano, Via Buffi 13, 6900, Lugano, Switzerland E-mail: sara.rubinelli@lu.unisi.ch",Kluwer Academic Publishers,,20,3,253,272,0920-427X,1572-8374,copyright,"Springer Science+Business Media, Inc., 2006",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1050300690102,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300690102&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300690102&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050300690102&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"IDSIA, Galleria 2, 6928, Manno-Lugano, Switzerland E-mail: shane@vetta.org","Legg, Shane",usi,10.1007/s11023-007-9079-x,https://doi.org/10.1007/s11023-007-9079-x,,Universal Intelligence: A Definition of Machine Intelligence,,"Legg, Shane;Hutter, Marcus",2007,Minds and Machines,"IDSIA, Galleria 2, 6928, Manno-Lugano, Switzerland E-mail: shane@vetta.org;RSISE@ANU and SML@NICTA, ACT 0200, Canberra, Australia E-mail: marcus@hutter1.net",Springer Netherlands,,17,4,391,444,0924-6495,1572-8641,copyright,"Springer Science+Business Media B.V., 2007",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s110230079079x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s110230079079x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s110230079079x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s110230079079x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"IDSIA—Dalle Molle Institute for Artificial Intelligence, Via Cantonale, Galleria 2, 6928, Manno, Switzerland E-mail: leonora@idsia.ch","Bianchi, Leonora",usi,10.1007/s11047-008-9098-4,https://doi.org/10.1007/s11047-008-9098-4,,A survey on metaheuristics for stochastic combinatorial optimization,,"Bianchi, Leonora;Dorigo, Marco;Gambardella, Luca Maria;Gutjahr, Walter J.",2009,Natural Computing,"IDSIA—Dalle Molle Institute for Artificial Intelligence, Via Cantonale, Galleria 2, 6928, Manno, Switzerland E-mail: leonora@idsia.ch;IRIDIA, Université Libre de Bruxelles, Brussels, Belgium;IDSIA—Dalle Molle Institute for Artificial Intelligence, Via Cantonale, Galleria 2, 6928, Manno, Switzerland;Department of Statistics and Decision Support Systems, University of Vienna, Vienna, Austria",Springer Netherlands,,8,,239,287,1567-7818,1572-9796,copyright,"Springer Science+Business Media B.V., 2008",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1104700890984,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1104700890984&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1104700890984&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1104700890984&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Communication and Health, University of Lugano, Via Buffi 13, 6904, Lugano (CH), Switzerland E-mail: sara.rubinelli@lu.unisi.ch","Rubinelli, Sara",usi,10.1007/s00038-009-0052-8,https://doi.org/10.1007/s00038-009-0052-8,,Health literacy beyond knowledge and behaviour: letting the patient be a patient,,"Rubinelli, Sara;Schulz, Peter J.;Nakamoto, Kent",2009,International Journal of Public Health,"Institute of Communication and Health, University of Lugano, Via Buffi 13, 6904, Lugano (CH), Switzerland E-mail: sara.rubinelli@lu.unisi.ch;Institute of Communication and Health, University of Lugano, Via Buffi 13, 6904, Lugano (CH), Switzerland;Department of Marketing, Virginia Tech, Blacksburg, VA, USA",SP Birkhäuser Verlag Basel,,54,5,307,311,1661-8556,1420-911X,copyright,"Birkhäuser Verlag, Basel/Switzerland, 2009",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0003800900528,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0003800900528&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0003800900528&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0003800900528&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Environment, Constructions and Design, University of Applied Sciences of Southern Switzerland, Lugano, Switzerland E-mail: ezio.cadoni@supsi.ch","Cadoni, Ezio",usi,10.1617/s11527-009-9527-6,https://doi.org/10.1617/s11527-009-9527-6,,Tensile behaviour of FRC under high strain-rate,,"Cadoni, Ezio;Meda, Alberto;Plizzari, Giovanni A.",2009,Materials and Structures,"Department of Environment, Constructions and Design, University of Applied Sciences of Southern Switzerland, Lugano, Switzerland E-mail: ezio.cadoni@supsi.ch;Department of Engineering Design and Technologies, University of Bergamo, Bergamo, Italy;Department of Civil Engineering, Architecture, Land and Environment, University of Brescia, Brescia, Italy",Springer Netherlands,,42,,1283,1294,1359-5997,1871-6873,copyright,"RILEM, 2009",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101617s1152700995276,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101617s1152700995276&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101617s1152700995276&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101617s1152700995276&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Transport and Logistics Studies (ITLS), Faculty of Economics and Business, The University of Sydney, 2006, Sydney, NSW, Australia Institute for Economic Research (IRE), Faculty of Economics, University of Lugano, Lugano, Switzerland E-mail: L.masiero@itls.usyd.edu.au E-mail: lorenzo.masiero@usi.ch","Masiero, Lorenzo",usi,10.1007/s11116-010-9302-0,https://doi.org/10.1007/s11116-010-9302-0,,Shift of reference point and implications on behavioral reaction to gains and losses,,"Masiero, Lorenzo;Hensher, David A.",2011,Transportation,"Institute of Transport and Logistics Studies (ITLS), Faculty of Economics and Business, The University of Sydney, 2006, Sydney, NSW, Australia Institute for Economic Research (IRE), Faculty of Economics, University of Lugano, Lugano, Switzerland E-mail: L.masiero@itls.usyd.edu.au E-mail: lorenzo.masiero@usi.ch;Institute of Transport and Logistics Studies (ITLS), Faculty of Economics and Business, The University of Sydney, 2006, Sydney, NSW, Australia E-mail: David.hensher@sydney.edu.au",Springer US; http://www.springer-ny.com,,38,2,249,271,0049-4488,1572-9435,copyright,"Springer Science+Business Media, LLC., 2010",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1111601093020,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111601093020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111601093020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1111601093020&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Argumentation, Linguistics and Semiotics, Faculty of Communication Sciences, Università della Svizzera italiana, Via G. Buffi 13, 6900, Lugano, Switzerland E-mail: sara.greco@usi.ch","Greco Morasso, Sara",usi,10.1007/s10503-013-9297-8,https://doi.org/10.1007/s10503-013-9297-8,,Henrique J. Ribeiro (ed): Inside Arguments. Logic and the Study of Argumentation,"Cambridge Scholars Publishing, Newcastle upon Tyne, UK, 2012, vii + 405 pp","Greco Morasso, Sara",2013,Argumentation,"Institute of Argumentation, Linguistics and Semiotics, Faculty of Communication Sciences, Università della Svizzera italiana, Via G. Buffi 13, 6900, Lugano, Switzerland E-mail: sara.greco@usi.ch",Springer Netherlands,2018-11-01,27,4,453,458,0920-427X,1572-8374,copyright,"Springer Science+Business Media Dordrecht, 2013",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s1050301392978,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301392978&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301392978&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s1050301392978&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"IDSIA, University of Italian Switzerland, Galleria 1, 6928, Manno, Switzerland E-mail: fabrizio@idsia.ch","Grandoni, Fabrizio",usi,10.1007/s00453-012-9612-z,https://doi.org/10.1007/s00453-012-9612-z,,Computing Optimal Steiner Trees in Polynomial Space,,"Fomin, Fedor V.;Grandoni, Fabrizio;Kratsch, Dieter;Lokshtanov, Daniel;Saurabh, Saket",2013,Algorithmica,"Department of Informatics, University of Bergen, 5020, Bergen, Norway E-mail: fomin@ii.uib.no;IDSIA, University of Italian Switzerland, Galleria 1, 6928, Manno, Switzerland E-mail: fabrizio@idsia.ch;LITA, Université Paul Verlaine – Metz, 57045, Metz Cedex 01, France E-mail: kratsch@univ-metz.fr;Department of Informatics, University of Bergen, 5020, Bergen, Norway E-mail: daniello@ii.uib.no;The Institute of Mathematical Sciences, Taramani, 600 113, Chennai, India E-mail: saket@imsc.res.in",Springer-Verlag,,65,3,584,604,0178-4617,1432-0541,copyright,"Springer Science+Business Media, LLC, 2012",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s004530129612z,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s004530129612z&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s004530129612z&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s004530129612z&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
