First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"EPFL SB MATHGEOM,Station 8, MA B3 455,CH-1015 Lausanne, Switzerland","Scherer, Jérôme",epfl,10.1515/forum-2012-0038,https://doi.org/10.1515/forum-2012-0038,,Goodwillie calculus and Whitehead products,,"Chorny, Boris;Scherer, Jérôme",2015,Forum Mathematicum,"Department of Mathematics,University of Haifa at Oranim,IL-36006 Qiryat Tivon, Israel;EPFL SB MATHGEOM,Station 8, MA B3 455,CH-1015 Lausanne, Switzerland",De Gruyter,,27,1,119,130,0933-7741,1435-5337,copyright,© 2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515forum20120038,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515forum20120038&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515forum20120038&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515forum20120038&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Signal Processing Laboratory (LTS5), Ecole Polytechnique F襩rale de Lausanne (EPFL), Lausanne, Switzerland","Braun, Fabian",epfl,10.1515/bmt-2016-5023,https://doi.org/10.1515/bmt-2016-5023,,Track Y. Smart Assistance Systems,,"Braun, Fabian;Lemkaddem, Alia;Moser, Virginie;Dasen, Stephan;Grossenbacher, Olivier",2016,Biomedical Engineering / Biomedizinische Technik,"Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Signal Processing Laboratory (LTS5), Ecole Polytechnique F襩rale de Lausanne (EPFL), Lausanne, Switzerland;Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Switzerland;Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Switzerland;Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Switzerland;Swiss Center for Electronics and Microtechnology (CSEM), Neuchâtel, Switzerland",De Gruyter,,61,s1,253,261,0013-5585,1862-278X,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bmt20165023,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165023&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165023&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165023&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Ecole Polytechnique Fédérale de Lausanne, Laboratoire de Spectroscopie Ultrarapide, ISIC, Faculté des Sciences de Base, Station 6, CH-1015 Lausanne, Switzerland E-mail: Majed.chergui@epfl.ch E-mail: Majed.chergui@epfl.ch","Chergui, Majed",epfl,10.1515/pac-2014-0939,https://doi.org/10.1515/pac-2014-0939,,Empirical rules of molecular photophysics in the light of ultrafast spectroscopy,,"Chergui, Majed",2015,Pure and Applied Chemistry,"Ecole Polytechnique Fédérale de Lausanne, Laboratoire de Spectroscopie Ultrarapide, ISIC, Faculté des Sciences de Base, Station 6, CH-1015 Lausanne, Switzerland E-mail: Majed.chergui@epfl.ch E-mail: Majed.chergui@epfl.ch",De Gruyter,,87,6,525,536,0033-4545,1365-3075,copyright,©2015 IUPAC & De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515pac20140939,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140939&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140939&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140939&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Swiss Federal Institute of Technology Lausanne (EPFL) Institute of Chemical Sciences and Engineering BCH 1402, CH-1015 Lausanne, Switzerland and Haimen Institute of Science and Technology, Hong Kong Baptist University, Hong Kong, SAR, P.R. China","Bünzli, Jean-Claude",epfl,10.1515/pac-2014-0706,https://doi.org/10.1515/pac-2014-0706,,Guidelines for measurement of luminescence spectra and quantum yields of inorganic and organometallic compounds in solution and solid state (IUPAC Technical Report),,"Ishida, Hitoshi;Bünzli, Jean-Claude;Beeby, Andrew",2016,Pure and Applied Chemistry,"Department of Chemistry, Graduate School of Science, Kitasato University, 1-15-1 Kitasato, Minami-ku, Sagamihara, Kanagawa 252-0373, Japan;Swiss Federal Institute of Technology Lausanne (EPFL) Institute of Chemical Sciences and Engineering BCH 1402, CH-1015 Lausanne, Switzerland and Haimen Institute of Science and Technology, Hong Kong Baptist University, Hong Kong, SAR, P.R. China;Department of Chemistry, Durham University, South Road, Durham DH1 3LE, United Kingdom of Great Britain and Northern Ireland",De Gruyter,,88,7,701,711,0033-4545,1365-3075,copyright,"©2016 IUPAC & De Gruyter. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. For more information, please visit: http://creativecommons.org/licenses/by-nc-nd/4.0/",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515pac20140706,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Section de Mathématiques, Station 8, EPFL, 1015 Lausanne, Switzerland","Sil, Swarnendu",epfl,10.1515/acv-2015-0022,https://doi.org/10.1515/acv-2015-0022,,Notions of affinity in calculus of variations with differential forms,,"Bandyopadhyay, Saugata;Sil, Swarnendu",2016,Advances in Calculus of Variations,"Department of Mathematics & Statistics, IISER Kolkata, Mohanpur 741246, India;Section de Mathématiques, Station 8, EPFL, 1015 Lausanne, Switzerland",De Gruyter,,9,3,293,304,1864-8258,1864-8266,copyright,© 2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515acv20150022,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150022&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Section de mathématiques, EPFL,Station 8, CH-1015 Lausanne, Switzerland","Thévenaz, Jacques",epfl,10.1515/crelle-2014-0019,https://doi.org/10.1515/crelle-2014-0019,,The algebra of essential relations on a finite set,,"Bouc, Serge;Thévenaz, Jacques",2016,Journal für die reine und angewandte Mathematik (Crelles Journal),"CNRS-LAMFA, Université de Picardie - Jules Verne,33, rue St Leu, F-80039 Amiens Cedex 1, France;Section de mathématiques, EPFL,Station 8, CH-1015 Lausanne, Switzerland",De Gruyter,,2016,712,225,250,0075-4102,1435-5345,copyright,© 2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515crelle20140019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crelle20140019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crelle20140019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crelle20140019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Ecole Polytechnique Fédérale de Lausanne, IPSB–Cristallographie, Le Cubotron (BSP), CH-1015 Lausanne, Switzerland E-mail: dieter.schwarzenbach@epfl.ch E-mail: dieter.schwarzenbach@epfl.ch","Schwarzenbach, Dieter",epfl,10.1515/zkri-2015-1863,https://doi.org/10.1515/zkri-2015-1863,,La coupe du roi and other methods to halve objects,,"Schwarzenbach, Dieter",2015,Zeitschrift für Kristallographie - Crystalline Materials,"Ecole Polytechnique Fédérale de Lausanne, IPSB–Cristallographie, Le Cubotron (BSP), CH-1015 Lausanne, Switzerland E-mail: dieter.schwarzenbach@epfl.ch E-mail: dieter.schwarzenbach@epfl.ch",De Gruyter,,230,12,761,765,2194-4946,2196-7105,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515zkri20151863,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zkri20151863&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zkri20151863&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zkri20151863&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Laboratory of Microsystems, EPFL, Lausanne, Switzerland","Cornaglia, Matteo",epfl,10.1515/bmt-2016-5002,https://doi.org/10.1515/bmt-2016-5002,,Track C. Biomedical Instrumentation & Micro and Nano Systems,,"Cornaglia, Matteo;Mouchiroud, Laurent;Krishnamani, Gopalan;Marette, Alexis;Narasimhan, Shreya;Jovaisaite, Virginija;Sorrentino, Vincenzo;Lehnert, Thomas;Auwerx, Johan;Gijs, Martin A. M.",2016,Biomedical Engineering / Biomedizinische Technik,"Laboratory of Microsystems, EPFL, Lausanne, Switzerland;Laboratory of Integrative Systems Physiology, EPFL, Lausanne, Switzerland;Laboratory of Microsystems, EPFL, Lausanne, Switzerland;Laboratory of Microsystems, EPFL, Lausanne, Switzerland;Laboratory of Microsystems, EPFL, Lausanne, Switzerland;Laboratory of Integrative Systems Physiology, EPFL, Lausanne, Switzerland;Laboratory of Integrative Systems Physiology, EPFL, Lausanne, Switzerland;Laboratory of Microsystems, EPFL, Lausanne, Switzerland;Laboratory of Integrative Systems Physiology, EPFL, Lausanne, Switzerland;Laboratory of Microsystems, EPFL, Lausanne, Switzerland",De Gruyter,,61,s1,24,29,0013-5585,1862-278X,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bmt20165002,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20165002&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"École Polytechnique Fédèrale de Lausanne, EPFL STI-DO, MXD 337 (Bâtiment MXD), Station 12, CH-1015 Lausanne, Switzerland","Lemaitre, Jacques",epfl,10.1515/bnm-2015-0020,https://doi.org/10.1515/bnm-2015-0020,,Degradation rates and products of pure magnesium exposed to different aqueous media under physiological conditions,,"Kieke, Marc;Feyerabend, Frank;Lemaitre, Jacques;Behrens, Peter;Willumeit-Römer, Regine",2016,BioNanoMaterials,"Institute for Inorganic Chemistry, Leibniz University of Hannover, Callinstr. 9, 30167 Hannover, Germany;Helmholtz-Zentrum Geesthacht, Institute of Materials Science, Division Metallic Biomaterials, Max-Planck-Str. 1, 21502 Geesthacht, Germany;École Polytechnique Fédèrale de Lausanne, EPFL STI-DO, MXD 337 (Bâtiment MXD), Station 12, CH-1015 Lausanne, Switzerland;Institute for Inorganic Chemistry, Leibniz University of Hannover, Callinstr. 9, 30167 Hannover, Germany;Helmholtz-Zentrum Geesthacht, Institute of Materials Science, Division Metallic Biomaterials, Max-Planck-Str. 1, 21502 Geesthacht, Germany",De Gruyter,,17,3-4,131,143,2193-0651,2193-066X,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bnm20150020,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bnm20150020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bnm20150020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bnm20150020&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland Department of Neurological and Movement Sciences, Anatomy and Histology Section, University of Verona, Verona, Italy E-mail: fabio.amaru@univr.it","Amarù, Fabio",epfl,10.1007/s00415-014-7398-4,https://doi.org/10.1007/s00415-014-7398-4,,MP2RAGE provides new clinically-compatible correlates of mild cognitive deficits in relapsing-remitting multiple sclerosis,,"Simioni, Samanta;Amarù, Fabio;Bonnier, Guillaume;Kober, Tobias;Rotzinger, David;Du Pasquier, Renaud;Schluep, Myriam;Meuli, Reto;Sbarbati, Andrea;Thiran, Jean-Philippe;Krueger, Gunnar;Granziera, Cristina",2014,Journal of Neurology,"Division of Neurology, Department of Clinical Neurosciences, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland;STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland Department of Neurological and Movement Sciences, Anatomy and Histology Section, University of Verona, Verona, Italy E-mail: fabio.amaru@univr.it;Advanced Clinical Imaging Technology, Siemens Schweiz AG, Healthcare Sector, Renens, Switzerland STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland;Advanced Clinical Imaging Technology, Siemens Schweiz AG, Healthcare Sector, Renens, Switzerland STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland;Department of Radiology, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland;Division of Neurology, Department of Clinical Neurosciences, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland;Division of Neurology, Department of Clinical Neurosciences, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland;Department of Radiology, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland;Department of Neurological and Movement Sciences, Anatomy and Histology Section, University of Verona, Verona, Italy;STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland;Advanced Clinical Imaging Technology, Siemens Schweiz AG, Healthcare Sector, Renens, Switzerland;Division of Neurology, Department of Clinical Neurosciences, Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Lausanne, Switzerland Advanced Clinical Imaging Technology, Siemens Schweiz AG, Healthcare Sector, Renens, Switzerland STI/IEL/LTS5, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, VD, Switzerland",Springer Berlin Heidelberg,2019-08-01,261,8,1606,1613,0340-5354,1432-1459,copyright,"Springer-Verlag Berlin Heidelberg, 2014",springer,https://www.swissbib.ch/Search/Results?lookfor=nationallicencespringer101007s0041501473984,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0041501473984&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0041501473984&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEspringer101007s0041501473984&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
