First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Universität Bern, Historisches Institut, Bern, Switzerland; E-mail: heinrich-richard.schmidt@hist.unibe.ch","Schmidt, Heinrich Richard",unibe,10.1515/hzhz-2016-0470,https://doi.org/10.1515/hzhz-2016-0470,,"Heinz Schilling (Hrsg.), Der Reformator Martin Luther 2017. Eine wissenschaftliche und gedenkpolitische Bestandsaufnahme. (Schriften des Historischen Kollegs, Kolloquien, 92.) Berlin/New York, de Gruyter 2014",,"Schmidt, Heinrich Richard",2016,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern, Switzerland; E-mail: heinrich-richard.schmidt@hist.unibe.ch",De Gruyter Oldenbourg,,303,3,800,805,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160470,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Basel, Deutsches Seminar, Basel, Germany; E-mail: ruediger.schnell@unibas.ch","Schnell, Rüdiger",unibas,10.1515/hzhz-2016-0406,https://doi.org/10.1515/hzhz-2016-0406,,", Lamentationes Matheoluli. Kritisch hrsg. u. komm. v. Thomas Klein. Mit Beiträgen v. Thomas Rubel u. Alfred Schmitt. (Quellen und Untersuchungen zur lateinischen Philologie des Mittelalters, Bd. 17.) Stuttgart, Hiersemann 2014",,"Schnell, Rüdiger",2016,Historische Zeitschrift,"Universität Basel, Deutsches Seminar, Basel, Germany; E-mail: ruediger.schnell@unibas.ch",De Gruyter Oldenbourg,,303,2,526,527,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160406,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160406&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160406&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160406&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9","Peter, Nina",unibe,10.1515/jbwg-2016-0021,https://doi.org/10.1515/jbwg-2016-0021,,Die Krise als Krankheit,Medizinische Metaphern in aktuellen Darstellungen von Finanzkrisen,"Peter, Nina;Lubrich, Oliver",2016,Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,"Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9;Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9",De Gruyter Oldenbourg,,57,2,519,544,0075-2800,2196-6842,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jbwg20160021,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Lehrstuhl für Strafrecht und Strafprozessrecht unter Einschluss des internationalen Strafrechts, Universität Zürich an der Universität Zürich.Switzerland","Meyer, Frank",uzh,10.1515/zstw-2016-0017,https://doi.org/10.1515/zstw-2016-0017,,"Internationale Fahndung nach Personen – von Steckbriefen, Rotecken und Funksprüchen",,"Meyer, Frank;Hüttemann, Suzan Denise",2016,Zeitschrift für die gesamte Strafrechtswissenschaft,"Lehrstuhl für Strafrecht und Strafprozessrecht unter Einschluss des internationalen Strafrechts, Universität Zürich an der Universität Zürich.Switzerland;Juniorprofessorin an der Universität Mannheim und zuvor Assistentin am Lehrstuhl von Prof. Dr. Frank Meyer.Germany",De Gruyter,,128,2,394,445,0084-5310,1612-703X,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515zstw20160017,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20160017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20160017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zstw20160017&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Division of Obstetrics, University Hospital Zurich, Zürich, Switzerland","Rüegger, Jessica",uzh,10.1515/crpm-2015-0103,https://doi.org/10.1515/crpm-2015-0103,,Spontaneous carotid artery dissection in pregnancy,,"Rüegger, Jessica;Krähenmann, Franziska;Schwarz, Urs;Kollias, Spyridon;Zimmermann, Roland;Kreft, Martina",2016,Case Reports in Perinatal Medicine,"Division of Obstetrics, University Hospital Zurich, Zürich, Switzerland;Division of Obstetrics, University Hospital Zurich, Zürich, Switzerland;Department of Neurology, University Hospital Zurich, Zürich, Switzerland;Department of Neuroradiology, University Hospital Zurich, Zürich, Switzerland;Division of Obstetrics, University Hospital Zurich, Zürich, Switzerland;Division of Obstetrics, University Hospital Zurich, Zürich, Switzerland",De Gruyter,,5,2,113,115,2192-8932,2192-8959,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515crpm20150103,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150103&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland","Dedes, Ioannis",uzh,10.1515/crpm-2015-0100,https://doi.org/10.1515/crpm-2015-0100,,Negative pressure wound treatment for uterine incision necrosis following a cesarean section,,"Dedes, Ioannis;Krähenmann, Franziska;Ghisu, Gian-Piero;Birindelli, Esther;Zimmermann, Roland;Ochsenbein, Nicole",2016,Case Reports in Perinatal Medicine,"University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland;University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland;University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland;University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland;University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland;University Hospital of Zurich, Department of Gynecology and Obstetrics, Zurich, Switzerland",De Gruyter,,5,2,105,108,2192-8932,2192-8959,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515crpm20150100,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150100&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150100&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20150100&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Philosophy, University of Fribourg, Av. de l’Europe 20 Fribourg 1700, Switzerland E-mail: jiri@benovsky.com","Benovsky, Jiri",unifr,10.1515/sats-2015-0017,https://doi.org/10.1515/sats-2015-0017,,Depiction and imagination,,"Benovsky, Jiri",2016,SATS,"Department of Philosophy, University of Fribourg, Av. de l’Europe 20 Fribourg 1700, Switzerland E-mail: jiri@benovsky.com",De Gruyter,,17,1,61,80,1600-1974,1869-7577,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515sats20150017,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sats20150017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sats20150017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sats20150017&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Historisches Institut, Bern 9, SchweizGermany E-mail: regula.ludi@hist.unibe.ch","Ludi, Regula",unibe,10.1515/hzhz-2016-0374,https://doi.org/10.1515/hzhz-2016-0374,,"Jan Eckel, Die Ambivalenz des Guten. Menschenrechte in der internationalen Politik seit den 1940ern. Göttingen, Vandenhoeck & Ruprecht 2014",,"Ludi, Regula",2016,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern 9, SchweizGermany E-mail: regula.ludi@hist.unibe.ch",De Gruyter Oldenbourg,,303,1,299,301,0018-2613,2196-680X,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160374,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,"Cristina, Grisot",unige unine,10.1515/ip-2016-0006,https://doi.org/10.1515/ip-2016-0006,,"Kasia M. Jaszczolt and Louis de Saussure: Time: Language, cognition and reality",,"Cristina, Grisot",2016,Intercultural Pragmatics,University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,De Gruyter,,13,1,131,149,1612-295X,1613-365X,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ip20160006,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Zürich, Historisches Seminar, Zürich, Schweiz E-mail: b.naef@access.uzh.ch","Näf, Beat",uzh,10.1515/hzhz-2016-0095,https://doi.org/10.1515/hzhz-2016-0095,,"Hans Peter Obermayer, Deutsche Altertumswissenschaftler im amerikanischen Exil: eine Rekonstruktion. Berlin/New York, de Gruyter 2014",,"Näf, Beat",2016,Historische Zeitschrift,"Universität Zürich, Historisches Seminar, Zürich, Schweiz E-mail: b.naef@access.uzh.ch",De Gruyter Oldenbourg,,302,2,421,422,0018-2613,2196-680X,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160095,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160095&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160095&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160095&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
