First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Universität Bern, Historisches Institut, Bern, Switzerland; E-mail: heinrich-richard.schmidt@hist.unibe.ch","Schmidt, Heinrich Richard",unibe,10.1515/hzhz-2016-0470,https://doi.org/10.1515/hzhz-2016-0470,http://doc.rero.ch/record/325403/files/hzhz-2016-0470.pdf,"Heinz Schilling (Hrsg.), Der Reformator Martin Luther 2017. Eine wissenschaftliche und gedenkpolitische Bestandsaufnahme. (Schriften des Historischen Kollegs, Kolloquien, 92.) Berlin/New York, de Gruyter 2014",,"Schmidt, Heinrich Richard",2016,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern, Switzerland; E-mail: heinrich-richard.schmidt@hist.unibe.ch",De Gruyter Oldenbourg,,303,3,800,805,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160470,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160470&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9","Peter, Nina",unibe,10.1515/jbwg-2016-0021,https://doi.org/10.1515/jbwg-2016-0021,http://doc.rero.ch/record/326133/files/jbwg-2016-0021.pdf,Die Krise als Krankheit,Medizinische Metaphern in aktuellen Darstellungen von Finanzkrisen,"Peter, Nina;Lubrich, Oliver",2016,Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,"Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9;Institut für Germanistik, Universität Bern, Länggassstraße 49, CH-3000 Bern 9",De Gruyter Oldenbourg,,57,2,519,544,0075-2800,2196-6842,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jbwg20160021,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jbwg20160021&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Historisches Institut, Bern 9, SchweizGermany E-mail: regula.ludi@hist.unibe.ch","Ludi, Regula",unibe,10.1515/hzhz-2016-0374,https://doi.org/10.1515/hzhz-2016-0374,http://doc.rero.ch/record/325530/files/hzhz-2016-0374.pdf,"Jan Eckel, Die Ambivalenz des Guten. Menschenrechte in der internationalen Politik seit den 1940ern. Göttingen, Vandenhoeck & Ruprecht 2014",,"Ludi, Regula",2016,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern 9, SchweizGermany E-mail: regula.ludi@hist.unibe.ch",De Gruyter Oldenbourg,,303,1,299,301,0018-2613,2196-680X,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20160374,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20160374&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Nanomedicine Research Lab CLINAM, University Hospital Basel, Bernoullistrasse 20, Basel, CH-4056, Switzerland","Zhang, Bei",unibe,10.1515/ejnm-2016-0012,https://doi.org/10.1515/ejnm-2016-0012,http://doc.rero.ch/record/325053/files/ejnm-2016-0012.pdf,Improving diagnosis of pneumococcal disease by multiparameter testing and micro/nanotechnologies,,"Salieb-Beugelaar, Georgette B.;Zhang, Bei;Nigo, Maurice M.;Frischmann, Sieghard;Hunziker, Patrick R.",2016,European Journal of Nanomedicine,"Nanomedicine Research Lab CLINAM, University Hospital Basel, Bernoullistrasse 20, Basel, CH-4056, Switzerland;MAST Diagnostica GmbH, Feldstraße 20, DE 23858 Reinfeld, Germany",De Gruyter,,8,3,115,128,1662-5986,1662-596X,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ejnm20160012,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ejnm20160012&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ejnm20160012&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ejnm20160012&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Center of Laboratory Medicine, Inselspital, University Hospital Bern, Bern, Switzerland","Fiedler, Georg Martin",unibe,10.1515/labmed-2015-0103,https://doi.org/10.1515/labmed-2015-0103,http://doc.rero.ch/record/325062/files/labmed-2015-0103.pdf,Antwort auf A. von Meyer: Cadamuro et al. In-vitro Hämolyse verschiedener Blutabnahmesysteme sowie deren finanzielle AuswirkungReply to: Cadamuro et al. In-vitro hemolysis and its financial impact using different blood collection systems,,"Cadamuro, Janne;Fiedler, Georg Martin;Mrazek, Cornelia;Felder, Thomas Klaus;Oberkofler, Hannes;Kipman, Ulrike;Haschke-Becher, Elisabeth;Wiedemann, Helmut",2016,LaboratoriumsMedizin,"Department of Laboratory, Medicine, Paracelsus Medical University, Müllner Hauptstr. 48, 5020 Salzburg, Austria E-mail: j.cadamuro@salk.at;Center of Laboratory Medicine, Inselspital, University Hospital Bern, Bern, Switzerland;Department of Laboratory Medicine, Paracelsus Medical University, Salzburg, Austria;Department of Laboratory Medicine, Paracelsus Medical University, Salzburg, Austria;Department of Laboratory Medicine, Paracelsus Medical University, Salzburg, Austria;UT SPSS Statistics, Hallein, Austria;Department of Laboratory Medicine, Paracelsus Medical University, Salzburg, Austria;Department of Laboratory Medicine, Paracelsus Medical University, Salzburg, Austria",De Gruyter,,40,1,59,61,0342-3026,1439-0477,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515labmed20150103,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150103&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: daniel.schlaeppi@hist.unibe.ch","Schläppi, Daniel",unibe,10.1515/hzhz-2015-0428,https://doi.org/10.1515/hzhz-2015-0428,http://doc.rero.ch/record/325043/files/hzhz-2015-0428.pdf,"Martin Ott, Salzhandel in der Mitte Europas. Raumorganisation und wirtschaftliche Außenbeziehungen zwischen Bayern, Schwaben und der Schweiz, 1750–1815. München, Beck 2013",,"Schläppi, Daniel",2015,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: daniel.schlaeppi@hist.unibe.ch",De Gruyter Oldenbourg,,301,2,520,523,0018-2613,2196-680X,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20150428,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150428&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150428&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150428&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Service de Réanimation Médicale, Université Paris 7-Denis-Diderot, Hôpital Bichat-Claude-Bernard, Assistance Publique-Hôpitaux de Paris (AP-HP), Paris, France","Bouadma, Lila",unibe,10.1515/cclm-2014-1015,https://doi.org/10.1515/cclm-2014-1015,http://doc.rero.ch/record/325339/files/cclm-2014-1015.pdf,Economic evaluation of procalcitonin-guided antibiotic therapy in acute respiratory infections: a US health system perspective,,"Schuetz, Philipp;Balk, Robert;Briel, Matthias;Kutz, Alexander;Christ-Crain, Mirjam;Stolz, Daiana;Bouadma, Lila;Wolff, Michel;Kristoffersen, Kristina B.;Wei, Long;Burkhardt, Olaf;Welte, Tobias;Schroeder, Stefan;Nobre, Vandack;Tamm, Michael;Bhatnagar, Neera;Bucher, Heiner C.;Luyt, Charles-Edouard;Chastre, Jean;Tubach, Florence;Mueller, Beat;Lacey, Michael J.;Ohsfeldt, Robert L.;Scheibling, Cara M.;Schneider, John E.",2015,Clinical Chemistry and Laboratory Medicine (CCLM),"University Department of Medicine, Kantonsspital Aarau, Aarau, Switzerland;Pulmonary and Critical Care Medicine, Rush University Medical Center, 1653 W. Congress Parkway, Chicago, IL, USA;University Department of Medicine, Kantonsspital Aarau, Aarau, Switzerland;Division of Endocrinology, Diabetology and Clinical Nutrition, University Hospital Basel, Basel, Switzerland;Clinic of Pneumology and Pulmonary Cell Research, University Hospital Basel, Basel, Switzerland;Service de Réanimation Médicale, Université Paris 7-Denis-Diderot, Hôpital Bichat-Claude-Bernard, Assistance Publique-Hôpitaux de Paris (AP-HP), Paris, France;Service de Réanimation Médicale, Université Paris 7-Denis-Diderot, Hôpital Bichat-Claude-Bernard, Assistance Publique-Hôpitaux de Paris (AP-HP), Paris, France;Department of Infectious Diseases, Aarhus, University Hospital, Skejby, Aarhus, Denmark;Department of Internal and Geriatrics Medicine, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, P.R. China;Medizinische Hochschule Hannover, Department of Pulmonary Medicine, Hannover, Germany;Medizinische Hochschule Hannover, Department of Pulmonary Medicine, Hannover, Germany;Department of Anesthesiology and Intensive Care Medicine, Krankenhaus Dueren, Dueren, Germany;Intensive Care, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil;Clinic of Pneumology and Pulmonary Cell Research, University Hospital Basel, Basel, Switzerland;Division of Endocrinology, Diabetology and Clinical Nutrition, University Hospital Basel, Basel, Switzerland;Basel Institute for Clinical Epidemiology and Biostatistics, University Hospital Basel, Basel, Switzerland;Service de Réanimation Médicale, Université Paris 6-Pierre-et-Marie-Curie, Hôpital Pitié-Salpêtrière, AP-HP, Paris, France;Service de Réanimation Médicale, Université Paris 6-Pierre-et-Marie-Curie, Hôpital Pitié-Salpêtrière, AP-HP, Paris, France;AP-HP, Hôpitaux Universitaires Paris Nord Val de Seine, Département d’Epidémiologie Biostatistique et Recherche Clinique, Paris, France, Université Paris Diderot, Sorbonne Paris Cité, UMR 738, Paris, France INSERM, UMR 738, Paris, France INSERM, CIE801, Paris, France;University Department of Medicine, Kantonsspital Aarau, Aarau, Switzerland;Avalon Health Economics, Morristown, NJ, USA;Avalon Health Economics, Morristown, NJ, USA;Avalon Health Economics, Morristown, NJ, USA;Avalon Health Economics, Morristown, NJ, USA E-mail: John.Schneider@avalonecon.com",De Gruyter,,53,4,583,592,1434-6621,1437-4331,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cclm20141015,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141015&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141015&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141015&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Institut für Sprachwissenschaft, Länggassstrasse 49, 3012 Bern, Switzerland","Gäumann, Manana Topadze",unibe,10.1515/stuf-2015-0004,https://doi.org/10.1515/stuf-2015-0004,http://doc.rero.ch/record/324824/files/stuf-2015-0004.pdf,Aspectual pairs in Georgian: some questions,,"Tomelleri, Vittorio S.;Gäumann, Manana Topadze",2015,STUF - Language Typology and Universals,"Università di Macerata, Dipartimento di Studi Umanistici, Via Illuminati 4, 62100 Macerata, Italy;Universität Bern, Institut für Sprachwissenschaft, Länggassstrasse 49, 3012 Bern, Switzerland",De Gruyter Mouton,,68,1,49,85,1867-8319,2196-7148,copyright,©2015 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515stuf20150004,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515stuf20150004&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515stuf20150004&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515stuf20150004&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: daniel.schlaeppi@hist.unibe.ch","Schläppi, Daniel",unibe,10.1515/hzhz-2015-0287,https://doi.org/10.1515/hzhz-2015-0287,http://doc.rero.ch/record/326015/files/hzhz-2015-0287.pdf,"Georg Kreis (Hrsg.), Die Geschichte der Schweiz. Basel, Schwabe 2013",,"Schläppi, Daniel",2015,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: daniel.schlaeppi@hist.unibe.ch",De Gruyter Oldenbourg,,301,1,149,153,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20150287,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150287&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150287&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150287&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: stefan.rebenich@hist.unibe.ch","Rebenich, Stefan",unibe,10.1515/hzhz-2015-0220,https://doi.org/10.1515/hzhz-2015-0220,http://doc.rero.ch/record/326300/files/hzhz-2015-0220.pdf,"Jochen Martin, Der Weg zur Ewigkeit führt über Rom. Die Frühgeschichte des Papsttums und die Darstellung der neutestamentlichen Heilsgeschichte im Triumphbogenmosaik von Santa Maria Maggiore in Rom. Stuttgart, Steiner 2010",,"Rebenich, Stefan",2015,Historische Zeitschrift,"Universität Bern, Historisches Institut, Bern 9, Schweiz E-mail: stefan.rebenich@hist.unibe.ch",De Gruyter Oldenbourg,,300,3,765,767,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20150220,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150220&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150220&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20150220&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
