First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,"Cristina, Grisot",unige,10.1515/ip-2016-0006,https://doi.org/10.1515/ip-2016-0006,,"Kasia M. Jaszczolt and Louis de Saussure: Time: Language, cognition and reality",,"Cristina, Grisot",2016,Intercultural Pragmatics,University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,De Gruyter,,13,1,131,149,1612-295X,1613-365X,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ip20160006,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Département des Sciences de l’Antiquité, Faculté des Lettres, 5, rue De-Candolle, CH – 1211 GENEVE 4 E-mail: Damien.Nelis@unige.ch","Nelis, Damien",unige,10.1515/phil-2016-0010,https://doi.org/10.1515/phil-2016-0010,,"Arise, Aratus",,"Nelis, Damien",2016,Philologus,"Département des Sciences de l’Antiquité, Faculté des Lettres, 5, rue De-Candolle, CH – 1211 GENEVE 4 E-mail: Damien.Nelis@unige.ch",De Gruyter Akademie Forschung,,160,1,177,179,0031-7985,2196-7008,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515phil20160010,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515phil20160010&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515phil20160010&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515phil20160010&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Département de philosophie, Université de Genève, 2 rue de Candolle, 1211 Genève, Switzerland E-mail: alexandre.bown@unige.ch","Bown, Alexander",unige,10.1515/agph-2016-0012,https://doi.org/10.1515/agph-2016-0012,,Epicurus on Bivalence and the Excluded Middle,,"Bown, Alexander",2016,Archiv für Geschichte der Philosophie,"Département de philosophie, Université de Genève, 2 rue de Candolle, 1211 Genève, Switzerland E-mail: alexandre.bown@unige.ch",De Gruyter,,98,3,239,271,0003-9101,1613-0650,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515agph20160012,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515agph20160012&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515agph20160012&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515agph20160012&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Geneva, Geneva, Switzerland E-mail: ian.mackenzie@unige.ch","Mackenzie, Ian",unige,10.1515/applirev-2015-0001,https://doi.org/10.1515/applirev-2015-0001,,Rethinking Reader and Writer Responsibility in Academic English,,"Mackenzie, Ian",2015,Applied Linguistics Review,"University of Geneva, Geneva, Switzerland E-mail: ian.mackenzie@unige.ch",De Gruyter,,6,1,1,21,1868-6303,1868-6311,copyright,©2015 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515applirev20150001,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515applirev20150001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515applirev20150001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515applirev20150001&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Genève, Switzerland","Müller, Denis",unige,10.1515/tillich-2015-0104,https://doi.org/10.1515/tillich-2015-0104,,La radicalité eschatologique de l’éthique et la dimension théonomique de l’autonomie.,Une tension féconde dans le projet tillichien,"Müller, Denis",2015,International Yearbook for Tillich Research,"Université de Genève, Switzerland",De Gruyter,,10,1,41,56,1990-4231,2190-7455,copyright,© 2015 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515tillich20150104,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515tillich20150104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515tillich20150104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515tillich20150104&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
Professor at the University of Geneva; Director of the Department of Private International Law and of the Law Faculty’s Programme on Transnational Law E-mail: thomas.kadner@unige.ch,"Kadner Graziano, Thomas",unige,10.1515/jetl-2016-0003,https://doi.org/10.1515/jetl-2016-0003,,The Distribution of Social Costs of Ski Accidents through Tort Law: Limits of Fault-Based Liability in Practice – and Alternative Regimes,,"Kadner Graziano, Thomas",2016,Journal of European Tort Law,Professor at the University of Geneva; Director of the Department of Private International Law and of the Law Faculty’s Programme on Transnational Law E-mail: thomas.kadner@unige.ch,De Gruyter,,7,1,1,26,1868-9612,1868-9620,copyright,"© 2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jetl20160003,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jetl20160003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jetl20160003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jetl20160003&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Unité Santé Jeunes, Division of General Paediatrics, Department of Paediatrics, Geneva University Hospitals, 87 Bvd de la Cluse, 1211 Geneva, Switzerland E-mail: anne.meynard@hcuge.ch","Meynard, Anne",unige,10.1515/ijamh-2016-5019,https://doi.org/10.1515/ijamh-2016-5019,,The health of Swiss adolescents and its implications for training of health professionals in Switzerland,,"Meynard, Anne;Rutishauser, Christoph;Thomi, Mirjam;Stronski Huwiler, Suzanne M.",2016,International Journal of Adolescent Medicine and Health,"Unité Santé Jeunes, Division of General Paediatrics, Department of Paediatrics, Geneva University Hospitals, 87 Bvd de la Cluse, 1211 Geneva, Switzerland E-mail: anne.meynard@hcuge.ch;University Children’s Hospital, Zurich, Switzerland;Institute of Nursing Science, Inselspital, Department of Pediatrics, University Hospital Bern, Bern, Switzerland and University of Basel, Basel, Switzerland;School Medical Service, Zurich, Switzerland",De Gruyter,,28,3,333,337,0334-0139,2191-0278,copyright,"©2016 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ijamh20165019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20165019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20165019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20165019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Genève, 5, rue de Candolle, Geneva, 1211, SwitzerlandAmerican University of Beirut, Beirut, Lebanon E-mail: aline.schlaepfer@unige.ch","Schlaepfer, Aline",unige,10.1515/asia-2016-0038,https://doi.org/10.1515/asia-2016-0038,,"Der Matossian, Bedross: Shattered Dreams of Revolution: From Liberty toViolence in the Late Ottoman Empire",,"Schlaepfer, Aline",2016,Asiatische Studien - Études Asiatiques,"Université de Genève, 5, rue de Candolle, Geneva, 1211, SwitzerlandAmerican University of Beirut, Beirut, Lebanon E-mail: aline.schlaepfer@unige.ch",De Gruyter,,70,4,1445,1448,0004-4717,2235-5871,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515asia20160038,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160038&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160038&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160038&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Unité d’arabe, University of Geneva, Boulevard des philosophes 22, CH-1205 Geneva, Switzerland E-mail: charlotte@charlottebank.net","Bank, Charlotte",unige,10.1515/asia-2016-0031,https://doi.org/10.1515/asia-2016-0031,,Painting as Critique: Oil Painting as a Site for Social and Political Negotiation in Syria,,"Bank, Charlotte",2016,Asiatische Studien - Études Asiatiques,"Unité d’arabe, University of Geneva, Boulevard des philosophes 22, CH-1205 Geneva, Switzerland E-mail: charlotte@charlottebank.net",De Gruyter,,70,4,1285,1303,0004-4717,2235-5871,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515asia20160031,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20160031&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Geneva, Geneva, Switzerland E-mail: Ian.Mackenzie@unige.ch","Mackenzie, Ian",unige,10.1515/jelf-2015-0024,https://doi.org/10.1515/jelf-2015-0024,,Response to Sabine Fiedler,,"Mackenzie, Ian",2015,Journal of English as a Lingua Franca,"University of Geneva, Geneva, Switzerland E-mail: Ian.Mackenzie@unige.ch",De Gruyter,,4,2,339,340,2191-9216,2191-933X,copyright,©2015 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jelf20150024,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jelf20150024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jelf20150024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jelf20150024&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
