First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Université de Lausanne, Faculté des lettres – SLAS, Anthropole 4077, 1015 Lausanne, Switzerland E-mail: nicola.pozza@unil.ch","Pozza, Nicola",unil,10.1515/asia-2015-0051,https://doi.org/10.1515/asia-2015-0051,http://doc.rero.ch/record/325862/files/asia-2015-0051.pdf,Après l’exil: l’ère du vide et de l’absence dans Khālī jagah de Geetanjali Shree,,"Pozza, Nicola",2016,Asiatische Studien - Études Asiatiques,"Université de Lausanne, Faculté des lettres – SLAS, Anthropole 4077, 1015 Lausanne, Switzerland E-mail: nicola.pozza@unil.ch",De Gruyter,,70,2,527,544,0004-4717,2235-5871,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515asia20150051,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150051&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150051&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150051&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Lausanne, Lausanne, Switzerland E-mail: Christiane.Moro@unil.ch","Moro, Christiane",unil,10.1515/sem-2016-0133,https://doi.org/10.1515/sem-2016-0133,http://doc.rero.ch/record/325472/files/sem-2016-0133.pdf,"Usage de l’objet, signification et émergence de la conscience à l’étape préverbale du développement: Une perspective édusémiotique",,"Moro, Christiane",2016,Semiotica,"University of Lausanne, Lausanne, Switzerland E-mail: Christiane.Moro@unil.ch",De Gruyter,,2016,212,129,153,0037-1998,1613-3692,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515sem20160133,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sem20160133&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sem20160133&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515sem20160133&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Medico-legal Center, Lausanne University Hospital, Lausanne, Switzerland E-mail: cristian.palmiere@chuv.ch","Palmiere, Cristian",unil,10.1515/cclm-2014-0709,https://doi.org/10.1515/cclm-2014-0709,http://doc.rero.ch/record/324761/files/cclm-2014-0709.pdf,Measurement of apolipoprotein M in sepsis-related deaths,,"Palmiere, Cristian;Bonsignore, Alessandro;Augsburger, Marc",2015,Clinical Chemistry and Laboratory Medicine (CCLM),"Medico-legal Center, Lausanne University Hospital, Lausanne, Switzerland E-mail: cristian.palmiere@chuv.ch;Department of Legal Medicine, University of Genova, Genova, Italy;Medico-legal Center, Lausanne University Hospital, Lausanne, Switzerland",De Gruyter,,53,4,e93,e96,1434-6621,1437-4331,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cclm20140709,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20140709&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20140709&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20140709&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
Der Autor ist o. Professor an der rechtswissenschaftlichen Fakultät der Universität Genf und Gastprofessor an den Universitäten Lausanne und Leuven.,"Kadner Graziano, Thomas",unil,10.1515/jura-2015-0205,https://doi.org/10.1515/jura-2015-0205,http://doc.rero.ch/record/325773/files/jura-2015-0205.pdf,Erstattung von Aus- und Einbaukosten bei Mängeln der Kaufsache – auch jenseits des Verbrauchsgüterkaufs?,,"Kadner Graziano, Thomas;Landbrecht, Johannes",2015,JURA - Juristische Ausbildung,Der Autor ist o. Professor an der rechtswissenschaftlichen Fakultät der Universität Genf und Gastprofessor an den Universitäten Lausanne und Leuven.;Der Autor ist Rechtsanwalt (Frankfurt/Main und Genf) und Barrister (Lincoln’s Inn); vormals Wiss. Mit. an der rechtswissenschaftlichen Fakultät der Universität Genf.,De Gruyter,,37,9,969,980,0170-1452,1612-7021,copyright,"© 2015 Walter de Gruyter GmbH, Berlin/München/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jura20150205,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jura20150205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jura20150205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jura20150205&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Swiss Federal Institute of Technology Lausanne (EPFL) Institute of Chemical Sciences and Engineering BCH 1402, CH-1015 Lausanne, Switzerland and Haimen Institute of Science and Technology, Hong Kong Baptist University, Hong Kong, SAR, P.R. China","Bünzli, Jean-Claude",unil,10.1515/pac-2014-0706,https://doi.org/10.1515/pac-2014-0706,http://doc.rero.ch/record/324727/files/pac-2014-0706.pdf,Guidelines for measurement of luminescence spectra and quantum yields of inorganic and organometallic compounds in solution and solid state (IUPAC Technical Report),,"Ishida, Hitoshi;Bünzli, Jean-Claude;Beeby, Andrew",2016,Pure and Applied Chemistry,"Department of Chemistry, Graduate School of Science, Kitasato University, 1-15-1 Kitasato, Minami-ku, Sagamihara, Kanagawa 252-0373, Japan;Swiss Federal Institute of Technology Lausanne (EPFL) Institute of Chemical Sciences and Engineering BCH 1402, CH-1015 Lausanne, Switzerland and Haimen Institute of Science and Technology, Hong Kong Baptist University, Hong Kong, SAR, P.R. China;Department of Chemistry, Durham University, South Road, Durham DH1 3LE, United Kingdom of Great Britain and Northern Ireland",De Gruyter,,88,7,701,711,0033-4545,1365-3075,copyright,"©2016 IUPAC & De Gruyter. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. For more information, please visit: http://creativecommons.org/licenses/by-nc-nd/4.0/",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515pac20140706,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515pac20140706&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Ophthalmology, University of Lausanne, Fondation Asile des Aveugles and Jules Gonin Eye Hospital, Lausanne, Switzerland E-mail: aki.kawasaki@fa2.ch","Kawasaki, Aki",unil,10.1515/crpm-2014-0011,https://doi.org/10.1515/crpm-2014-0011,http://doc.rero.ch/record/326125/files/crpm-2014-0011.pdf,Rowland Payne syndrome in a neonate as a consequence of birth trauma,,"Murone, Anne-Joëlle Bosset;Kawasaki, Aki",2015,Case Reports in Perinatal Medicine,"Cabinet Bosset-Thurler, Lausanne, Switzerland;Department of Ophthalmology, University of Lausanne, Fondation Asile des Aveugles and Jules Gonin Eye Hospital, Lausanne, Switzerland E-mail: aki.kawasaki@fa2.ch",De Gruyter,,4,1,77,78,2192-8932,2192-8959,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515crpm20140011,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20140011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20140011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515crpm20140011&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Section de langues et civilisations slaves et de l’Asie du Sud, Quartier UNIL-Dorigny, Bâtiment Anthropole 4135, 1015 Lausanne, Switzerland E-mail: MariaPiera.Candotti@unil.ch","Candotti, Maria Piera",unil,10.1515/asia-2015-0026,https://doi.org/10.1515/asia-2015-0026,http://doc.rero.ch/record/324834/files/asia-2015-0026.pdf,"Sarma, S.L.P Anjaneya / Grimal, François: Bhaṭṭoji Dīkṣita on the Gajasūtra",,"Candotti, Maria Piera",2015,Asiatische Studien - Études Asiatiques,"Section de langues et civilisations slaves et de l’Asie du Sud, Quartier UNIL-Dorigny, Bâtiment Anthropole 4135, 1015 Lausanne, Switzerland E-mail: MariaPiera.Candotti@unil.ch",De Gruyter,,69,2,539,541,0004-4717,2235-5871,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515asia20150026,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150026&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150026&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515asia20150026&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Social and Preventive Medicine, University Hospital of Lausanne, Lausanne, Switzerland","Stauffer, Florine",unil,10.1515/labmed-2015-0089,https://doi.org/10.1515/labmed-2015-0089,http://doc.rero.ch/record/326219/files/labmed-2015-0089.pdf,Comparison between capillary glucose measured with a Contour glucometer and plasma glucose in a population survey,,"Stauffer, Florine;Viswanathan, Bharathi;Jean, Maygane;Kinabo, Prosper;Bovet, Pascal",2016,LaboratoriumsMedizin,"Institute of Social and Preventive Medicine, University Hospital of Lausanne, Lausanne, Switzerland;Unit for Prevention and Control of Cardiovascular Diseases, Ministry of Health, Victoria, Republic of Seychelles;Clinical Laboratory, Seychelles Hospital, Ministry of Health, Victoria, Republic of Seychelles;Clinical Laboratory, Seychelles Hospital, Ministry of Health, Victoria, Republic of Seychelles",De Gruyter,,40,2,133,139,0342-3026,1439-0477,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515labmed20150089,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150089&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150089&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515labmed20150089&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Community Prevention Unit, Institute of Social and Preventive Medicine, Lausanne University Hospital, Lausanne, Switzerland","Bochud, Murielle",unil,10.1515/cclm-2014-1041,https://doi.org/10.1515/cclm-2014-1041,http://doc.rero.ch/record/325603/files/cclm-2014-1041.pdf,Reference intervals for 24 laboratory parameters determined in 24-hour urine collections,,"Curcio, Raffaele;Stettler, Helen;Suter, Paolo M.;Aksözen, Jasmin Barman;Saleh, Lanja;Spanaus, Katharina;Bochud, Murielle;Minder, Elisabeth;Von Eckardstein, Arnold",2016,Clinical Chemistry and Laboratory Medicine (CCLM),"Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland;Clinic and Polyclinic of Internal Medicine, University Hospital Zurich, Zurich, Switzerland;Clinic and Polyclinic of Internal Medicine, University Hospital Zurich, Zurich, Switzerland;Institute of Laboratory Medicine, Stadtspital Triemli, Zurich, Switzerland;Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland;Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland;Community Prevention Unit, Institute of Social and Preventive Medicine, Lausanne University Hospital, Lausanne, Switzerland;Institute of Laboratory Medicine, Stadtspital Triemli, Zurich, Switzerland;Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland E-mail: arnold.voneckardstein@usz.ch",De Gruyter,,54,1,105,116,1434-6621,1437-4331,copyright,©2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cclm20141041,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141041&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141041&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20141041&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut universitaire de médecine sociale et préventive (IUMSP), Lausanne University Hospital, Lausanne, Switzerland E-mail: Christina.Akre@chuv.ch","Akre, Christina",unil,10.1515/ijamh-2014-0020,https://doi.org/10.1515/ijamh-2014-0020,http://doc.rero.ch/record/325839/files/ijamh-2014-0020.pdf,Educational intervention for parents of adolescents with chronic illness: a pre-post test pilot study,,"Akre, Christina;Ramelet, Anne-Sylvie;Berchtold, André;Suris, Joan-Carles",2015,International Journal of Adolescent Medicine and Health,"Institut universitaire de médecine sociale et préventive (IUMSP), Lausanne University Hospital, Lausanne, Switzerland E-mail: Christina.Akre@chuv.ch;Institut universitaire de formation et de recherche en soins (IUFRS), Lausanne University Hospital, Lausanne, Switzerland;Institut universitaire de médecine sociale et préventive (IUMSP), Lausanne University Hospital, Lausanne, Switzerland;Institut universitaire de médecine sociale et préventive (IUMSP), Lausanne University Hospital, Lausanne, Switzerland",De Gruyter,,27,3,261,269,0334-0139,2191-0278,copyright,©2015 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ijamh20140020,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20140020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20140020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijamh20140020&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
