First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,"Cristina, Grisot",unine,10.1515/ip-2016-0006,https://doi.org/10.1515/ip-2016-0006,,"Kasia M. Jaszczolt and Louis de Saussure: Time: Language, cognition and reality",,"Cristina, Grisot",2016,Intercultural Pragmatics,University of Geneva and University of Neuchâtel E-mail: cristina.grisot@unige.ch,De Gruyter,,13,1,131,149,1612-295X,1613-365X,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ip20160006,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ip20160006&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Mathématiques, Université de Neuchâtel Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland","Bianco, Giulia",unine,10.1515/jmc-2015-0039,https://doi.org/10.1515/jmc-2015-0039,,Compression for trace zero points on twisted Edwards curves,,"Bianco, Giulia;Gorla, Elisa",2016,Journal of Mathematical Cryptology,"Institut de Mathématiques, Université de Neuchâtel Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland;Institut de Mathématiques, Université de Neuchâtel Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland",De Gruyter,,10,1,15,34,1862-2976,1862-2984,copyright,© 2016 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jmc20150039,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jmc20150039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jmc20150039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jmc20150039&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland","Hilpert, Martin",unine,10.1515/flin-2016-0018,https://doi.org/10.1515/flin-2016-0018,,"A corpus-based, cross-linguistic approach to mental predicates and their complementation: Performativity and descriptivity vis-à-vis boundedness and picturability",,"Krawczak, Karolina;Fabiszak, Małgorzata;Hilpert, Martin",2016,Folia Linguistica,"Faculty of English, Adam Mickiewicz University, Poznań, al. Niepodległości 4, 61-874 Poznań, Poland;Faculty of English, Adam Mickiewicz University, Poznań, al. Niepodległości 4, 61-874 Poznań, Poland;Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland",De Gruyter,,50,2,475,506,0165-4004,1614-7308,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515flin20160018,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160018&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160018&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160018&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de langue et littérature anglaises, University of Neuchâtel E-mail: martin.hilpert@unine.ch","Hilpert, Martin",unine,10.1515/cog-2014-0001,https://doi.org/10.1515/cog-2014-0001,,From hand-carved to computer-based: Noun-participle compounding and the upward strengthening hypothesis,,"Hilpert, Martin",2015,Cognitive Linguistics,"Institut de langue et littérature anglaises, University of Neuchâtel E-mail: martin.hilpert@unine.ch",De Gruyter Mouton,,26,1,113,147,0936-5907,1613-3641,copyright,©2015 by Walter de Gruyter Berlin/Munich/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cog20140001,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cog20140001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cog20140001&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cog20140001&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland","Hilpert, Martin",unine,10.1515/cllt-2015-0065,https://doi.org/10.1515/cllt-2015-0065,,How do corpus-based techniques advance description and theory in English historical linguistics? An introduction to the special issue,,"Hilpert, Martin;Cuyckens, Hubert",2016,Corpus Linguistics and Linguistic Theory,"Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland;KU Leuven, Blijde-Inkomststraat 21 - Box 3308, 3000 Leuven, Belgium",De Gruyter,,12,1,1,5,1613-7027,1613-7035,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cllt20150065,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cllt20150065&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cllt20150065&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cllt20150065&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland E-mail: martin.hilpert@unine.ch","Hilpert, Martin",unine,10.1515/flin-2015-0019,https://doi.org/10.1515/flin-2015-0019,,Christopher S. Butler & Francisco Gonzálvez-García: Exploring functional-cognitive space,,"Hilpert, Martin",2015,Folia Linguistica,"Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland E-mail: martin.hilpert@unine.ch",De Gruyter,,49,2,555,560,0165-4004,1614-7308,copyright,©2015 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515flin20150019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20150019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20150019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20150019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universite de Neuchatel Faculte de Droit, 1er-Mars 26, Neuchatel, NE 2000, Switzerland","Vuille, Joelle",unine,10.1515/ice-2016-0002,https://doi.org/10.1515/ice-2016-0002,,An American Advantage? How American and Swiss Criminal Defense Attorneys Evaluate Forensic DNA Evidence,,"Vuille, Joelle;Thompson, William C.",2016,International Commentary on Evidence,"Universite de Neuchatel Faculte de Droit, 1er-Mars 26, Neuchatel, NE 2000, Switzerland;Department of Criminology, Law & Society and School of Law, University of California, Irvine, CA, USA",De Gruyter,,14,1,1,41,2194-5691,1554-4567,copyright,"© 2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ice20160002,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ice20160002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ice20160002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ice20160002&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Neuchâtel, Institut de langues et littératures hispaniques, Espace Louis-Agassiz 1, CH - 2000 Neuchâtel E-mail: adrian.saez@unine.ch","Saéz, Adrián J.",unine,10.1515/ibero-2015-0024,https://doi.org/10.1515/ibero-2015-0024,,Un “pecado tan malo y feo”: variaciones cervantinas sobre el suicidio,,"Saéz, Adrián J.",2015,Iberoromania,"Université de Neuchâtel, Institut de langues et littératures hispaniques, Espace Louis-Agassiz 1, CH - 2000 Neuchâtel E-mail: adrian.saez@unine.ch",De Gruyter Mouton,,2015,82,202,217,0019-0993,1865-9039,copyright,"© 2015 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ibero20150024,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20150024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20150024&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20150024&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland","Hilpert, Martin",unine,10.1515/flin-2016-0013,https://doi.org/10.1515/flin-2016-0013,,Usage-based cognitive-functional linguistics: From theory to method and back again,,"Fabiszak, Małgorzata;Hilpert, Martin;Krawczak, Karolina",2016,Folia Linguistica,"Faculty of English, Adam Mickiewicz University, Poznań al. Niepodległości 4 61-874 Poznań, Poland;Institut de langue et littérature anglaises, Université de Neuchâtel, Espace Louis-Agassiz 1, CH-2000 Neuchâtel, Switzerland;Faculty of English, Adam Mickiewicz University, Poznań al. Niepodległości 4 61-874 Poznań, Poland",De Gruyter,,50,2,345,353,0165-4004,1614-7308,copyright,©2016 by De Gruyter Mouton,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515flin20160013,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515flin20160013&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Neuchâtel, Institut de langue et littérature allemandes, Espace Louis-Agassiz 1, CH-2000 Neuchâtel","Scarvaglieri, Claudio",unine,10.1515/zfal-2015-0003,https://doi.org/10.1515/zfal-2015-0003,,„Educational Landscaping“: Ein Beitrag zur Entwicklung von Bewusstheit über Sprache und Kommunikation,,"Scarvaglieri, Claudio;Salem, Tanja Fadia",2015,Zeitschrift für Angewandte Linguistik,"Université de Neuchâtel, Institut de langue et littérature allemandes, Espace Louis-Agassiz 1, CH-2000 Neuchâtel;Universität Hamburg, Fachbereich Allgemeine, Interkulturelle und International Vergleichende Erziehungswissenschaft Arbeitsgruppe „Diversity in Education Research – DivER“, Von-Melle-Park 8, D-20146 Hamburg",De Gruyter Mouton,,62,1,61,97,1433-9889,2190-0191,copyright,"©2015 Walter de Gruyter, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515zfal20150003,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zfal20150003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zfal20150003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515zfal20150003&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
