First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"University of Verona, Department of Economics, Via Cantarane 24, 37129 Verona, Italy Center for Development and Cooperation, ETH Zurich, Switzerland","Veronesi, Marcella",ethz,10.1515/bejeap-2016-0261,https://doi.org/10.1515/bejeap-2016-0261,,“Leaving No Child Behind:” Preferences for Social Inclusion and Altruism,,"Menon, Martina;Perali, Federico;Veronesi, Marcella",2017,The B.E. Journal of Economic Analysis & Policy,"University of Verona, Department of Economics, Via Cantarane 24, 37129 Verona, Italy;University of Verona, Department of Economics, Via Cantarane 24, 37129 Verona, Italy;University of Verona, Department of Economics, Via Cantarane 24, 37129 Verona, Italy Center for Development and Cooperation, ETH Zurich, Switzerland",De Gruyter,,17,3,,,,1935-1682,copyright,"© 2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bejeap20160261,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20160261&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20160261&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20160261&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Schmelzbergstr. 7, 8092 Zürich, Switzerland, Phone: +41 44 632 43 15, Fax: +41 44 632 14 70","Stoffel, Nicole U.",ethz,10.1515/cclm-2017-0097,https://doi.org/10.1515/cclm-2017-0097,,Prediction of human iron bioavailability using rapid c-ELISAs for human plasma hepcidin,,"Stoffel, Nicole U.;Zeder, Christophe;Fort, Eloïse;Swinkels, Dorine W.;Zimmermann, Michael B.;Moretti, Diego",2017,Clinical Chemistry and Laboratory Medicine (CCLM),"Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Schmelzbergstr. 7, 8092 Zürich, Switzerland, Phone: +41 44 632 43 15, Fax: +41 44 632 14 70;Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Zürich, Switzerland;Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Zürich, Switzerland;Department of Laboratory Medicine, Translational Metabolic Laboratory, Radboud University Medical Center, Nijmegen, The Netherlands Hepcidinanalysis.com, Laboratory Medicine, Nijmegen, The Netherlands;Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Zürich, Switzerland;Department of Health Science and Technology, Laboratory of Human Nutrition, ETH Zürich, Schmelzbergstr. 7, 8092 Zürich, Switzerland, Phone: +41 44 632 84 36, Fax: +41 44 632 14 70",De Gruyter,,55,8,1186,1192,1434-6621,1437-4331,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515cclm20170097,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20170097&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20170097&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515cclm20170097&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"ETH Zürich, ETH-Bibliothek, Rämistrasse 101, 8092 Zürich, Schweiz","Wiederkehr, Stefan",ethz,10.1515/abitech-2017-0059,https://doi.org/10.1515/abitech-2017-0059,,Nachhaltigkeit durch Kooperation im Zeitalter von Open Science,"46th LIBER Conference, 5.–7. Juli 2017 in Patras","Brandtner, Andreas;Wiederkehr, Stefan",2017,ABI Technik,"Johannes Gutenberg-Universität Mainz, Universitätsbibliothek Mainz, Jakob-Welder-Weg 6, 55128 Mainz, Deutschland;ETH Zürich, ETH-Bibliothek, Rämistrasse 101, 8092 Zürich, Schweiz",De Gruyter,,37,4,280,284,0720-6763,2191-4664,copyright,© 2017 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515abitech20170059,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170059&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170059&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170059&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"ETH Zürich, ETH-Bibliothek, Kundenservices, Grüne Bibliothek, 8092 Zürich, Schweiz","Grenacher, Raymond",ethz,10.1515/bd-2017-0084,https://doi.org/10.1515/bd-2017-0084,,Design Thinking zur Entwicklung von Lernumgebungen: Das Projekt Team Working Spaces an der ETH-Bibliothek,,"Grenacher, Raymond;Lienhard, Claudia",2017,Bibliotheksdienst,"ETH Zürich, ETH-Bibliothek, Kundenservices, Grüne Bibliothek, 8092 Zürich, Schweiz;ETH Zürich, ETH-Bibliothek, Innovation und Entwicklung, 8092 Zürich, Schweiz",De Gruyter,,51,9,771,785,0006-1972,2194-9646,copyright,© 2017 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bd20170084,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bd20170084&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bd20170084&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bd20170084&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"ETH Zurich – Institute for Building Materials, Zürich, Kanton Zürich, Switzerland","Bachtiar, Erik V.",ethz,10.1515/hf-2016-0154,https://doi.org/10.1515/hf-2016-0154,,Static and dynamic tensile shear test of glued lap wooden joint with four different types of adhesives,,"Bachtiar, Erik V.;Clerc, Gaspard;Brunner, Andreas J.;Kaliske, Michael;Niemz, Peter",2017,Holzforschung,"ETH Zurich – Institute for Building Materials, Zürich, Kanton Zürich, Switzerland;Institute of Building Materials, ETH Zürich, Zurich, Switzerland Institut für Werkstoffe und Holztechnologie, Berner Fachhochschule Architektur, Holz und Bau, Biel, Switzerland;Laboratory for Mechanical System Engineering, Empa, Dübendorf, Switzerland;Institute for Structural Analysis, Technische Universität Dresden, Dresden, Germany;Institute of Building Materials, ETH Zürich, Zurich, Switzerland Institut für Werkstoffe und Holztechnologie, Berner Fachhochschule Architektur, Holz und Bau, Biel, Switzerland",De Gruyter,,71,5,391,396,0018-3830,1437-434X,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hf20160154,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20160154&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20160154&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20160154&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"ETH Zurich, Institute of Cartography and Geoinformation, Stefano-Franscini-Platz 5, 8093 Zurich Switzerland E-mail: jschito@ethz.ch","Schito, Joram",ethz,10.1515/itit-2016-0057,https://doi.org/10.1515/itit-2016-0057,,Modeling and optimizing transmission lines with GIS and Multi-Criteria Decision Analysis,,"Schito, Joram",2017,it - Information Technology,"ETH Zurich, Institute of Cartography and Geoinformation, Stefano-Franscini-Platz 5, 8093 Zurich Switzerland E-mail: jschito@ethz.ch",De Gruyter Oldenbourg,,59,1,1,9,1611-2776,2196-7032,copyright,©2017 Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515itit20160057,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515itit20160057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515itit20160057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515itit20160057&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Laboratory of Physical Chemistry, Swiss Federal Institute of Technology, ETH-Hönggerberg, CH-8093 Zürich, Switzerland Biozentrum, University of Basel, Klingelbergstr. 50/70, CH-4056 Basel, Switzerland","Bibow, Stefan",ethz,10.1515/ntrev-2016-0062,https://doi.org/10.1515/ntrev-2016-0062,,α-Synuclein lipoprotein nanoparticles,,"Eichmann, Cédric;Bibow, Stefan;Riek, Roland",2017,Nanotechnology Reviews,"In-Cell NMR Laboratory, Department of NMR-supported Structural Biology, Leibniz Institute of Molecular Pharmacology (FMP Berlin), Robert-Rössle Strasse 10, 13125 Berlin, Germany;Laboratory of Physical Chemistry, Swiss Federal Institute of Technology, ETH-Hönggerberg, CH-8093 Zürich, Switzerland Biozentrum, University of Basel, Klingelbergstr. 50/70, CH-4056 Basel, Switzerland;Laboratory of Physical Chemistry, Swiss Federal Institute of Technology, ETH-Hönggerberg, CH-8093 Zürich, Switzerland",De Gruyter,,6,1,105,110,2191-9089,2191-9097,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ntrev20160062,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ntrev20160062&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ntrev20160062&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ntrev20160062&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute for Building Materials, ETH Zürich, Zürich, Switzerland","Bachtiar, Erik Valentine",ethz,10.1515/hf-2017-0063,https://doi.org/10.1515/hf-2017-0063,,Determination of mode I and mode II fracture toughness of walnut and cherry in TR and RT crack propagation system by the Arcan test,,"Murata, Koji;Bachtiar, Erik Valentine;Niemz, Peter",2017,Holzforschung,"Graduate School of Agriculture, Kyoto University, Kitashirakawa-Oiwake cho, Sakyo ku, Kyoto city, Kyoto, 606-8502, Japan;Institute for Building Materials, ETH Zürich, Zürich, Switzerland;Institute for Building Materials, ETH Zürich, Zürich, Switzerland Institute for Material and Wood Technology, Bern University of Applied Sciences, Burgdorf, Switzerland",De Gruyter,,71,12,985,990,0018-3830,1437-434X,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hf20170063,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20170063&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20170063&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hf20170063&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"pd|z Product Development Group Zurich, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland","Rebholz, Mathias",ethz,10.1515/bmt-2016-0052,https://doi.org/10.1515/bmt-2016-0052,,High-frequency operation of a pulsatile VAD – a simulation study,,"Rebholz, Mathias;Amacher, Raffael;Petrou, Anastasios;Meboldt, Mirko;Schmid Daners, Marianne",2017,Biomedical Engineering / Biomedizinische Technik,"pd|z Product Development Group Zurich, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland;Wyss Translational Center Zurich, ETH Zurich, 8092 Zurich, Switzerland;pd|z Product Development Group Zurich, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland;pd|z Product Development Group Zurich, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland;pd|z Product Development Group Zurich, CLA G21.1 Tannenstr. 3, 8092 Zurich, Switzerland, Phone: +41 44 632 2447",De Gruyter,,62,2,161,170,0013-5585,1862-278X,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bmt20160052,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20160052&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20160052&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20160052&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Swiss Library Service Platform, c/o ETH Zürich, ETH-Bibliothek, Rämistrasse 101, 8092 Zürich, Schweiz","Capatt, Iris",ethz,10.1515/abitech-2017-0043,https://doi.org/10.1515/abitech-2017-0043,,Gemeinsam die Zukunft gestalten: Das Projekt Swiss Library Service Platform (SLSP),,"Capatt, Iris;Neubauer, Wolfram",2017,ABI Technik,"Swiss Library Service Platform, c/o ETH Zürich, ETH-Bibliothek, Rämistrasse 101, 8092 Zürich, Schweiz;Swiss Library Service Platform, c/o ETH Zürich, ETH-Bibliothek, Rämistrasse 101, 8092 Zürich, Schweiz",De Gruyter,,37,3,197,207,0720-6763,2191-4664,copyright,© 2017 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515abitech20170043,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170043&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170043&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515abitech20170043&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
