First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch","Weichlein, Siegfried",unifr,10.1515/hzhz-2017-1226,https://doi.org/10.1515/hzhz-2017-1226,,"Tait Keller, Apostles of the Alps. Mountaineering and Nation Building in Germany and Austria, 1860–1939. Chapel Hill, N. C. 2016",,"Weichlein, Siegfried",2017,Historische Zeitschrift,"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch",De Gruyter Oldenbourg,,304,3,810,812,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171226,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171226&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171226&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171226&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch","Weichlein, Siegfried",unifr,10.1515/hzhz-2017-1275,https://doi.org/10.1515/hzhz-2017-1275,,"Jerrold Seigel, Modernity and Bourgeois Life. Society, Politics, and Culture in England, France and Germany since 1750. Cambridge/New York/Melbourne, Cambridge University Press 2012",,"Weichlein, Siegfried",2017,Historische Zeitschrift,"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch",De Gruyter Oldenbourg,,305,1,141,143,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171275,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171275&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171275&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171275&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Fribourg, Switzerland E-mail: ralph.mueller@unifr.ch","Mueller, Ralph",unifr,10.1515/humor-2017-0014,https://doi.org/10.1515/humor-2017-0014,,Bowles Daniel: The ends of satire: Legacies of satire in postwar German writing,,"Mueller, Ralph",2017,HUMOR,"University of Fribourg, Fribourg, Switzerland E-mail: ralph.mueller@unifr.ch",De Gruyter,,30,2,259,260,0933-1719,1613-3722,copyright,"© 2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515humor20170014,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20170014&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20170014&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20170014&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität FreiburgHistorische Wissenschaften, Geschichte der Neuzeit, Fribourg, Switzerland; E-mail: volker.reinhardt@unifr.ch","Reinhardt, Volker",unifr,10.1515/hzhz-2017-1030,https://doi.org/10.1515/hzhz-2017-1030,,"Luca d’ Antonio degli Albizzi / Francesco Soderini, Legazione alla corte di Francia. 31 agosto 1501 – 10 luglio 1502. A cura di Emanuele Cutinelli-Rendina e Denis Fauchard. Torino, Aragno 2015",,"Reinhardt, Volker",2017,Historische Zeitschrift,"Universität FreiburgHistorische Wissenschaften, Geschichte der Neuzeit, Fribourg, Switzerland; E-mail: volker.reinhardt@unifr.ch",De Gruyter Oldenbourg,,304,1,221,223,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171030,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171030&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171030&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171030&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Mathematics, University of Fribourg, Chemin du Musée 23, 1700 Fribourg, Switzerland","Wenger, Stefan",unifr,10.1515/acv-2015-0027,https://doi.org/10.1515/acv-2015-0027,,Energy and area minimizers in metric spaces,,"Lytchak, Alexander;Wenger, Stefan",2017,Advances in Calculus of Variations,"Mathematisches Institut, Universität Köln, Weyertal 86–90, 50931 Köln, Germany;Department of Mathematics, University of Fribourg, Chemin du Musée 23, 1700 Fribourg, Switzerland",De Gruyter,,10,4,407,421,1864-8258,1864-8266,copyright,"© 2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515acv20150027,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150027&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150027&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515acv20150027&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch","Weichlein, Siegfried",unifr,10.1515/hzhz-2017-1460,https://doi.org/10.1515/hzhz-2017-1460,,"Peter Alter, Nationalismus. Ein Essay über Europa. (Einsichten, Bd. 1.) Stuttgart, Kröner 2016",,"Weichlein, Siegfried",2017,Historische Zeitschrift,"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch",De Gruyter Oldenbourg,,305,3,762,763,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171460,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171460&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171460&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171460&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch","Weichlein, Siegfried",unifr,10.1515/hzhz-2017-1382,https://doi.org/10.1515/hzhz-2017-1382,,"Ewald Frie / Ute Planert (Hrsg.), Revolution, Krieg und die Geburt von Staat und Nation. Staatsbildung in Europa und den Amerikas 1770–1930. (Bedrohte Ordnungen, Bd. 3.) Tübingen, Mohr Siebeck 2016",,"Weichlein, Siegfried",2017,Historische Zeitschrift,"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch",De Gruyter Oldenbourg,,305,2,483,485,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171382,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171382&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171382&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171382&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch","Weichlein, Siegfried",unifr,10.1515/hzhz-2017-1330,https://doi.org/10.1515/hzhz-2017-1330,,"Constanze Breuer / Bärbel Holtz / Paul Kahl (Hrsg.), Die Musealisierung der Nation. Ein kulturpolitisches Gestaltungsmodell des 19. Jahrhunderts. Berlin/München/Boston, De Gruyter Oldenbourg 2015",,"Weichlein, Siegfried",2017,Historische Zeitschrift,"Universität Freiburg i.Ü., Departement Historische Wissenschaften, Zeitgeschichte, Fribourg, 1700, Switzerland. E-mail: siegfried.weichlein@unifr.ch",De Gruyter Oldenbourg,,305,1,244,245,0018-2613,2196-680X,copyright,© by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515hzhz20171330,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171330&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171330&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515hzhz20171330&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Medicine, Division of Endocrinology, University of Fribourg, Fribourg, Switzerland","Wyss, Sascha",unifr,10.1515/jpem-2017-0261,https://doi.org/10.1515/jpem-2017-0261,,A novel DAX-1 (NR0B1) mutation in a boy with X-linked adrenal hypoplasia congenita,,"Gerster, Karine;Katschnig, Claudia;Wyss, Sascha;Kolly, Anne;Sproll, Patrick;Biason-Lauber, Anna;Konrad, Daniel",2017,Journal of Pediatric Endocrinology and Metabolism,"Department of Endocrinology and Diabetology, University Children’s Hospital, Zurich, Switzerland;Department of Endocrinology and Diabetology, University Children’s Hospital, Zurich, Switzerland;Department of Medicine, Division of Endocrinology, University of Fribourg, Fribourg, Switzerland;Department of Medicine, Division of Endocrinology, University of Fribourg, Fribourg, Switzerland;Department of Medicine, Division of Endocrinology, University of Fribourg, Fribourg, Switzerland;Department of Medicine, Division of Endocrinology, University of Fribourg, Chemin du Musée 5, 1700 Fribourg, Switzerland, Phone: +41 26 300 8534;Department of Endocrinology and Diabetology, University Children’s Hospital, Zurich, Switzerland Children’s Research Center, University Children’s Hospital, Zurich, Switzerland",De Gruyter,,30,12,1321,1325,0334-018X,2191-0251,copyright,"©2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515jpem20170261,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jpem20170261&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jpem20170261&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515jpem20170261&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Multilingualism, University of Fribourg, Rue de Rome 1, CH-1700 Fribourg, Switzerland","Vanhove, Jan",unifr,10.1515/iral-2017-0007,https://doi.org/10.1515/iral-2017-0007,,Interactions between formal distance and participant-related variables in receptive multilingualism,,"Vanhove, Jan;Berthele, Raphael",2017,International Review of Applied Linguistics in Language Teaching,"Department of Multilingualism, University of Fribourg, Rue de Rome 1, CH-1700 Fribourg, Switzerland;Department of Multilingualism, University of Fribourg, Rue de Rome 1, CH-1700 Fribourg, Switzerland",De Gruyter,,55,1,23,40,0019-042X,1613-4141,copyright,"© 2017 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515iral20170007,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515iral20170007&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515iral20170007&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515iral20170007&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
