First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Department of Medicine/Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch","Antic, Vladan",unifr,10.1016/S0895-7061(02)03272-7,https://doi.org/10.1016/S0895-7061(02)03272-7,http://doc.rero.ch/record/292415/files/16_4_302.pdf,Short-term (5-day) changes in food intake alter daily hemodynamics in rabbits,,"Antic, Vladan;Dulloo, Abdul;Montani, Jean-Pierre",2003,American Journal of Hypertension,"Department of Medicine/Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch;Department of Medicine/Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch;Department of Medicine/Physiology, University of Fribourg, Fribourg, Switzerland E-mail: jean-pierre.montani@unifr.ch E-mail: jean-pierre.montani@unifr.ch",Oxford University Press,,16,4,302,306,0895-7061,1941-7225,copyright,"© 2003 by the American Journal of Hypertension, Ltd.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101016S0895706102032727,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102032727&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102032727&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101016S0895706102032727&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Informatics, University of Fribourg, Fribourg, Switzerland Institute of Informatics, University of Fribourg, Fribourg, Switzerland","Kohlas, J",unifr,10.1093/logcom/9.5.651,https://doi.org/10.1093/logcom/9.5.651,http://doc.rero.ch/record/302534/files/090651.pdf,Propositional information systems,,"Kohlas, J;Haenni, R;Moral, S",1999,Journal of Logic and Computation,"Institute of Informatics, University of Fribourg, Fribourg, Switzerland Institute of Informatics, University of Fribourg, Fribourg, Switzerland;Institute of Informatics, University of Fribourg, Fribourg, Switzerland Institute of Informatics, University of Fribourg, Fribourg, Switzerland;Department of Computer Science, University of Granada, Granada, Spain E-mail: smc@decsai.ugr.es Institute of Informatics, University of Fribourg, Fribourg, Switzerland",Oxford University Press,,9,5,651,681,0955-792X,1465-363X,copyright,Copyright 1999,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093logcom95651,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom95651&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom95651&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093logcom95651&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland","Pauls, Dennis",unifr,10.1093/chemse/bjq023,https://doi.org/10.1093/chemse/bjq023,http://doc.rero.ch/record/304505/files/bjq023.pdf,Electric Shock-Induced Associative Olfactory Learning in Drosophila Larvae,,"Pauls, Dennis;Pfitzenmaier, Johanna E.R.;Krebs-Wheaton, Rebecca;Selcho, Mareike;Stocker, Reinhard F.;Thum, Andreas S.",2010,Chemical Senses,"Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland;Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland;Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland;Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland;Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland;Department of Biology, University of Fribourg, CH-1700 Fribourg, Switzerland E-mail: andreas.thum@unifr.ch",Oxford University Press,,35,4,335,346,0379-864X,1464-3553,copyright,"© The Author 2010. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093chemsebjq023,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjq023&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjq023&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093chemsebjq023&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Mathématiques, Université de Fribourg CH-1700 Fribourg, Switzerland","Kauthen, J.-P.",unifr,10.1093/imanum/9.1.47,https://doi.org/10.1093/imanum/9.1.47,http://doc.rero.ch/record/293537/files/9-1-47.pdf,The Numerical Solution of Two-Dimensional Volterra Integral Equations by Collocation and Iterated Collocation,,"Brunner, H.;Kauthen, J.-P.",1989,IMA Journal of Numerical Analysis,"Department of Mathematics and Statistics, Memorial University of Newfoundland St John's, Newfoundland, Canada A1C 5S7;Institut de Mathématiques, Université de Fribourg CH-1700 Fribourg, Switzerland",Oxford University Press,,9,1,47,59,0272-4979,1464-3642,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093imanum9147,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum9147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum9147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum9147&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Assistance Publique/Hôpitaux de Paris, Faculté de Médecine Paris Sud, K.-Bicêtre, France Associated National Reference Center for Antibiotic Resistance, K.-Bicêtre, France Medical and Molecular Microbiology, Department of Medicine, Faculty of Science, University of Fribourg, Fribourg, Switzerland E-mail: patrice.nordmann@unifr.ch","Nordmann, Patrice",unifr,10.1093/jac/dkt433,https://doi.org/10.1093/jac/dkt433,http://doc.rero.ch/record/300862/files/dkt433.pdf,"Dissemination of carbapenemase-producing Enterobacteriaceae in France, 2012",,"Dortet, Laurent;Cuzon, Gaelle;Nordmann, Patrice",2014,Journal of Antimicrobial Chemotherapy,"INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Assistance Publique/Hôpitaux de Paris, Faculté de Médecine Paris Sud, K.-Bicêtre, France Associated National Reference Center for Antibiotic Resistance, K.-Bicêtre, France;INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Assistance Publique/Hôpitaux de Paris, Faculté de Médecine Paris Sud, K.-Bicêtre, France Associated National Reference Center for Antibiotic Resistance, K.-Bicêtre, France;INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Assistance Publique/Hôpitaux de Paris, Faculté de Médecine Paris Sud, K.-Bicêtre, France Associated National Reference Center for Antibiotic Resistance, K.-Bicêtre, France Medical and Molecular Microbiology, Department of Medicine, Faculty of Science, University of Fribourg, Fribourg, Switzerland E-mail: patrice.nordmann@unifr.ch",Oxford University Press,,69,3,623,627,0305-7453,1460-2091,copyright,"© The Author 2013. Published by Oxford University Press on behalf of the British Society for Antimicrobial Chemotherapy. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jacdkt433,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt433&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt433&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt433&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland E-mail: stefan.suter@unifr.ch","Suter, Stefan M.",unifr,10.1093/beheco/arp037,https://doi.org/10.1093/beheco/arp037,http://doc.rero.ch/record/297950/files/arp037.pdf,The cost of infidelity to female reed buntings,,"Suter, Stefan M.;Bielańska, Joanna;Röthlin-Spillmann, Sabine;Strambini, Ludivine;Meyer, Dietrich R.",2009,Behavioral Ecology,"Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland E-mail: stefan.suter@unifr.ch;Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland;Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland;Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland;Department of Biology, Unit for Ecology and Evolution, University of Fribourg, Chemin du Musée 10, CH-1700 Fribourg, Switzerland E-mail: stefan.suter@unifr.ch",Oxford University Press,,20,3,601,608,1045-2249,1465-7279,copyright,"© The Author 2009. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093behecoarp037,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarp037&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarp037&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarp037&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Service de Bactériologie-Virologie, INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Faculté de Médecine et Université Paris-Sud, 94275 Kremlin-Bicêtre, France Medical and Molecular Microbiology Unit, Department of Medicine, Faculty of Science, University of Fribourg, Switzerland","Poirel, Laurent",unifr,10.1093/jac/dkt367,https://doi.org/10.1093/jac/dkt367,http://doc.rero.ch/record/302728/files/dkt367.pdf,Temocillin and piperacillin/tazobactam resistance by disc diffusion as antimicrobial surrogate markers for the detection of carbapenemase-producing Enterobacteriaceae in geographical areas with a high prevalence of OXA-48 producers,,"Huang, Te-Din;Poirel, Laurent;Bogaerts, Pierre;Berhin, Catherine;Nordmann, Patrice;Glupczynski, Youri",2014,Journal of Antimicrobial Chemotherapy,"National Reference Laboratory for Monitoring of Antimicrobial Resistance in Gram-negative Bacteria, CHU Mont-Godinne, Université Catholique de Louvain (UCL), 1 Avenue Docteur Gaston Therasse, 5530 Yvoir, Belgium E-mail: te-din.huang@uclouvain.be;Service de Bactériologie-Virologie, INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Faculté de Médecine et Université Paris-Sud, 94275 Kremlin-Bicêtre, France Medical and Molecular Microbiology Unit, Department of Medicine, Faculty of Science, University of Fribourg, Switzerland;National Reference Laboratory for Monitoring of Antimicrobial Resistance in Gram-negative Bacteria, CHU Mont-Godinne, Université Catholique de Louvain (UCL), 1 Avenue Docteur Gaston Therasse, 5530 Yvoir, Belgium;National Reference Laboratory for Monitoring of Antimicrobial Resistance in Gram-negative Bacteria, CHU Mont-Godinne, Université Catholique de Louvain (UCL), 1 Avenue Docteur Gaston Therasse, 5530 Yvoir, Belgium;Service de Bactériologie-Virologie, INSERM U914 ‘Emerging Resistance to Antibiotics’, Hôpital de Bicêtre, Faculté de Médecine et Université Paris-Sud, 94275 Kremlin-Bicêtre, France Medical and Molecular Microbiology Unit, Department of Medicine, Faculty of Science, University of Fribourg, Switzerland;National Reference Laboratory for Monitoring of Antimicrobial Resistance in Gram-negative Bacteria, CHU Mont-Godinne, Université Catholique de Louvain (UCL), 1 Avenue Docteur Gaston Therasse, 5530 Yvoir, Belgium",Oxford University Press,,69,2,445,450,0305-7453,1460-2091,copyright,"© The Author 2013. Published by Oxford University Press on behalf of the British Society for Antimicrobial Chemotherapy. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jacdkt367,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt367&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt367&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jacdkt367&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Fleiner, Thomas",unifr,10.1093/oxfordjournals.pubjof.a004949,https://doi.org/10.1093/oxfordjournals.pubjof.a004949,http://doc.rero.ch/record/289528/files/32-2-97.pdf,Recent Developments of Swiss Federalism,,"Fleiner, Thomas",2002,Publius: The Journal of Federalism,University of Fribourg,Oxford University Press,,32,2,97,124,0048-5950,1747-7107,copyright,"© 2002, CSF Associates, Easton, PA",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalspubjofa004949,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspubjofa004949&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Zurich, Institute of Psychology, Zurich, Switzerland Zurich Center for Interdisciplinary Sleep Research (ZiS), Zurich, Switzerland Department of Psychology, University of Fribourg, Fribourg, Switzerland","Rasch, Björn",unifr,10.1093/cercor/bhu139,https://doi.org/10.1093/cercor/bhu139,http://doc.rero.ch/record/293759/files/bhu139.pdf,Boosting Vocabulary Learning by Verbal Cueing During Sleep,,"Schreiner, Thomas;Rasch, Björn",2015,Cerebral Cortex,"University of Zurich, Institute of Psychology, Zurich, Switzerland;University of Zurich, Institute of Psychology, Zurich, Switzerland Zurich Center for Interdisciplinary Sleep Research (ZiS), Zurich, Switzerland Department of Psychology, University of Fribourg, Fribourg, Switzerland",Oxford University Press,2018-11-01,25,11,4169,4179,1047-3211,1460-2199,copyright,"© The Author 2014. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhu139,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu139&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg/University of Lausanne,"Renevey, Denis",unifr,10.1093/english/50.196.77,https://doi.org/10.1093/english/50.196.77,http://doc.rero.ch/record/297342/files/50-196-77.pdf,"Diane Watt. D.S., Secretaries of God: Women Prophets in Late Medieval and Early Modern England",,"Renevey, Denis",2001,English,University of Fribourg/University of Lausanne,The English Association,,50,196,77,81,0013-8215,1756-1124,copyright,© 2001 The English Association,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093english5019677,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093english5019677&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093english5019677&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093english5019677&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
